"","year","Albania","Andorra","Armenia","Austria","Azerbaijan","Belarus","Belgium","Bosnia and Herzegovina","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","German Federal Republic","Greece","Hungary","Iceland","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Macedonia","Malta","Moldova","Montenegro","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","Tajikistan","Turkey","Turkmenistan","Ukraine","United Kingdom","Uzbekistan"
"11",2001,0.5740741,0.4096386,0.2771084,0.3975904,0.1594203,0.2051282,0.4216867,0.5510204,0.4197531,0.3780488,0.373494,0.4216867,0.4337349,0.4230769,0.4096386,0.5063291,0.3291139,0.4216867,0.4096386,0.443038,0.4216867,0.3855422,0.4197531,0.2278481,NA,0.4,0.4303797,0.4268293,0.3780488,0.402439,0.3846154,NA,0.4216867,0.4337349,0.4216867,0.4096386,0.4146341,0.3975904,0.4197531,0.4096386,0.3975904,NA,NA,0.3506494,0.1481481,0.3012048,0.5301205,NA
"12",2002,0.3368421,0.3428571,0.1826923,0.3333333,0.1078431,0.1165049,0.3461538,0.3473684,0.3461538,0.3238095,0.3238095,0.3461538,0.3461538,0.3398058,0.3333333,0.4285714,0.2912621,0.3398058,0.3428571,0.3461538,0.3428571,0.3142857,0.3619048,0.1782178,0.1525424,0.3300971,0.3333333,0.3428571,0.3333333,0.3333333,0.3163265,NA,0.3461538,0.3495146,0.3557692,0.3564356,0.3398058,0.3428571,0.3333333,0.352381,0.3238095,0.3238095,0.15,0.2980769,0.06451613,0.2571429,0.447619,0.2321429
"13",2003,0.375,0.3225806,0.1978022,0.3225806,0.1494253,0.1538462,0.3695652,0.326087,0.3548387,0.3225806,0.311828,0.3548387,0.3655914,0.3478261,0.3548387,0.4301075,0.3095238,0.3763441,0.344086,0.3548387,0.3548387,0.311828,0.3655914,0.1777778,0.1686747,0.3548387,0.3763441,0.3763441,0.3406593,0.3333333,0.2555556,NA,0.3655914,0.3548387,0.3846154,0.3478261,0.3444444,0.344086,0.3369565,0.3548387,0.344086,0.3333333,0.2307692,0.2747253,0.109589,0.2258065,0.4731183,0.2407407
"14",2004,0.3924051,0.3488372,0.2,0.3448276,0.1125,0.06097561,0.3411765,0.3488372,0.3448276,0.3448276,0.3333333,0.3488372,0.3563218,0.3176471,0.3448276,0.3837209,0.2658228,0.3604651,0.3529412,0.3488372,0.3488372,0.3333333,0.3488372,0.1125,0.1267606,0.3690476,0.3448276,0.3411765,0.3452381,0.3372093,0.2619048,NA,0.3448276,0.3372093,0.372093,0.3563218,0.3448276,0.3563218,0.3563218,0.3448276,0.3333333,0.3372093,0.1044776,0.3012048,0.03076923,0.2093023,0.4367816,0.09375
"15",2005,0.4047619,0.33,0.1938776,0.34,0.1382979,0.1134021,0.35,0.4193548,0.36,0.34,0.33,0.36,0.37,0.3434343,0.35,0.42,0.3402062,0.35,0.34,0.36,0.36,0.33,0.3473684,0.1875,0.15625,0.37,0.36,0.36,0.3333333,0.32,0.3170732,NA,0.37,0.35,0.36,0.34,0.36,0.36,0.36,0.35,0.34,0.3333333,0.08974359,0.3052632,0.08474576,0.2755102,0.48,0.1190476
"16",2006,0.3333333,0.3214286,0.1545455,0.2946429,0.1354167,0.1261261,0.3063063,0.3137255,0.3214286,0.3035714,0.3,0.3243243,0.3214286,0.3035714,0.3035714,0.3839286,0.3035714,0.3125,0.3125,0.3125,0.3125,0.2946429,0.3035714,0.1538462,0.127451,0.3214286,0.3214286,0.3272727,0.3063063,0.3148148,0.2990654,0.3163265,0.3125,0.3153153,0.3153153,0.3214286,0.3090909,0.3090909,0.3125,0.3303571,0.2946429,0.2857143,0.1235955,0.2685185,0.06153846,0.3035714,0.4107143,0.1318681
"17",2007,0.2911392,0.2795699,0.1195652,0.2795699,0.07142857,0.05434783,0.3010753,0.3023256,0.2903226,0.2934783,0.2903226,0.326087,0.3010753,0.3010753,0.2903226,0.4130435,0.2808989,0.3010753,0.3010753,0.3333333,0.3010753,0.2795699,0.3010753,0.09677419,0.06741573,0.311828,0.311828,0.3010753,0.2903226,0.2795699,0.2826087,0.2967033,0.311828,0.2795699,0.311828,0.3010753,0.2903226,0.3152174,0.3010753,0.2903226,0.2903226,0.2717391,0.02702703,0.2413793,0.05357143,0.3033708,0.4193548,0.07246377
"18",2008,0.3578947,0.3678161,0.1827957,0.34375,0.1397849,0.1157895,0.3541667,0.3478261,0.3578947,0.3541667,0.34375,0.3645833,0.3684211,0.3541667,0.3541667,0.4270833,0.3152174,0.3541667,0.3541667,0.3541667,0.3578947,0.34375,0.3541667,0.1847826,0.1413043,0.3578947,0.3541667,0.3578947,0.3578947,0.3473684,0.34375,0.3541667,0.3684211,0.3510638,0.3645833,0.3541667,0.3645833,0.3541667,0.3578947,0.3578947,0.34375,0.3368421,0.1264368,0.2988506,0.06896552,0.3684211,0.4631579,0.1309524
"19",2009,0.4698795,0.4705882,0.2891566,0.4705882,0.2337662,0.195122,0.4941176,0.4698795,0.5,0.4761905,0.4588235,0.5294118,0.5176471,0.5058824,0.4705882,0.5529412,0.4823529,0.5176471,0.4941176,0.5,0.4941176,0.4705882,0.5058824,0.2470588,0.2125,0.4941176,0.5058824,0.5060241,0.5,0.4705882,0.4823529,0.4761905,0.5294118,0.4588235,0.5294118,0.4823529,0.4941176,0.5176471,0.4823529,0.4823529,0.4823529,0.4404762,0.1388889,0.4390244,0.2121212,0.4819277,0.6,0.2191781
"20",2010,0.4534884,0.4588235,0.313253,0.4302326,0.2469136,0.25,0.4883721,0.4235294,0.4823529,0.4588235,0.4418605,0.4767442,0.4823529,0.4651163,0.4534884,0.5465116,0.4404762,0.4767442,0.2891566,0.4767442,0.4651163,0.4418605,0.4756098,0.297619,0.3066667,0.4761905,0.4767442,0.4767442,0.4418605,0.4418605,0.4651163,0.4767442,0.4767442,0.4418605,0.4705882,0.4767442,0.4651163,0.4767442,0.4767442,0.4534884,0.4534884,0.4534884,0.275,0.4216867,0.2638889,0.4588235,0.6046512,0.2368421
"21",2011,0.5894737,0.5773196,0.4,0.5670103,0.3690476,0.3010753,0.6082474,0.5773196,0.6041667,0.6153846,0.5773196,0.5979381,0.6082474,0.5979381,0.5773196,0.6494845,0.6086957,0.5876289,0.5876289,0.5979381,0.5833333,0.5773196,0.6082474,0.4020619,0.3636364,0.5979381,0.5979381,0.5979381,0.5876289,0.5670103,0.5876289,0.5833333,0.6145833,0.5773196,0.5979381,0.5979381,0.59375,0.6082474,0.6082474,0.5979381,0.5833333,0.5425532,0.3372093,0.5714286,0.3012048,0.5463918,0.6804124,0.3058824
"22",2012,0.4545455,0.4545455,0.3214286,0.4431818,0.2727273,0.2352941,0.4827586,0.4659091,0.4714286,0.4534884,0.4545455,0.4886364,0.4659091,0.4712644,0.4545455,0.5454545,0.4235294,0.4659091,0.4597701,0.4659091,0.4659091,0.4431818,0.4772727,0.2906977,0.2941176,0.4651163,0.4659091,0.4772727,0.4659091,0.4431818,0.4659091,0.4545455,0.4659091,0.4545455,0.4659091,0.4827586,0.4659091,0.4659091,0.4772727,0.4659091,0.4431818,0.4367816,0.2658228,0.4367816,0.2465753,0.4367816,0.6144578,0.2564103
"23",2013,0.4126984,0.40625,0.1746032,0.390625,0.1694915,0.1403509,0.4285714,0.3870968,0.421875,0.4126984,0.390625,0.46875,0.4375,0.4285714,0.4375,0.515625,0.3709677,0.4603175,0.4126984,0.453125,0.421875,0.3968254,0.4375,0.1612903,0.1428571,0.4354839,0.4375,0.4375,0.4032258,0.3809524,0.3968254,0.390625,0.4375,0.40625,0.4285714,0.4126984,0.40625,0.4375,0.421875,0.421875,0.40625,0.375,0.1206897,0.3387097,0.09090909,0.390625,0.59375,0.1311475
"24",2014,0.4155844,0.3924051,0.2105263,0.3846154,0.1857143,0.1486486,0.4230769,0.3766234,0.4177215,0.3947368,0.3797468,0.4303797,0.4303797,0.4177215,0.4050633,0.5316456,0.3866667,0.4683544,0.3924051,0.4303797,0.4050633,0.4179104,0.4177215,0.2051282,0.1558442,0.4177215,0.4230769,0.4177215,0.4411765,0.3846154,0.3717949,0.3797468,0.4303797,0.4050633,0.4177215,0.4155844,0.3924051,0.4177215,0.4050633,0.4102564,0.3797468,0.3797468,0.1486486,0.3376623,0.1666667,0.3943662,0.6075949,0.1304348
"25",2015,0.4444444,0.4246575,0.25,0.3972603,0.1470588,0.1641791,0.4794521,0.3972603,0.4520548,0.4657534,0.4225352,0.5138889,0.4794521,0.5205479,0.4383562,0.5753425,0.4027778,0.5070423,0.4246575,0.5068493,0.4383562,0.3972603,0.4794521,0.2054795,0.1830986,0.5205479,0.5068493,0.4794521,0.4027778,0.3888889,0.4027778,0.4246575,0.4794521,0.4246575,0.5205479,0.4383562,0.4657534,0.4794521,0.4657534,0.4861111,0.3972603,0.3835616,0.1911765,0.4166667,0.1166667,0.4647887,0.630137,0.1666667
"26",2016,0.6173913,0.6034483,0.317757,0.5689655,0.3398058,0.2454545,0.6495726,0.5811966,0.6495726,0.6410256,0.5726496,0.6581197,0.637931,0.6495726,0.6068376,0.6695652,0.6203704,0.6581197,0.6068376,0.6666667,0.6086957,0.5897436,0.6206897,0.3853211,0.1794872,0.6551724,0.6581197,0.6293103,0.5811966,0.5811966,0.6017699,0.6521739,0.6293103,0.6,0.6551724,0.6173913,0.6637931,0.6410256,0.6410256,0.6465517,0.5811966,0.5555556,0.2795699,0.5689655,0.3561644,0.6396396,0.7179487,0.2352941
"27",2017,0.495935,0.3852459,0.2457627,0.3495935,0.2300885,0.1965812,0.4918033,0.4508197,0.4836066,0.4918033,0.3739837,0.5163934,0.5,0.5121951,0.4098361,0.5447154,0.373913,0.5121951,0.4796748,0.504065,0.4672131,0.3442623,0.495935,0.2113821,0.2,0.5121951,0.504065,0.5,0.3852459,0.3719008,0.394958,0.4918033,0.4836066,0.4634146,0.5121951,0.4878049,0.5163934,0.4918033,0.4918033,0.4918033,0.3688525,0.338843,0.2407407,0.4344262,0.2093023,0.5,0.5901639,0.2524272
"28",2018,0.393617,0.3191489,0.1684211,0.3368421,0.1666667,0.1075269,0.3894737,0.2888889,0.3684211,0.3789474,0.3368421,0.4315789,0.4,0.4210526,0.3578947,0.4842105,0.3406593,0.4105263,0.3789474,0.4736842,0.3473684,0.3368421,0.3894737,0.1489362,0.1149425,0.4210526,0.4105263,0.3894737,0.3473684,0.3263158,0.3478261,0.3789474,0.393617,0.3578947,0.4361702,0.3684211,0.4,0.393617,0.3894737,0.3684211,0.3473684,0.3010753,0.1648352,0.3191489,0.09375,0.3956044,0.5052632,0.1125
