year,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,German Federal Republic,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,United States of America,Uzbekistan,
2001,-1.33948,-1.604356,-2.3983295,-1.634341,-2.65920663,-2.7141099,-1.457124,-1.568847,-1.524338,-1.7591139,-1.9567026,-1.490718,-1.408645,-1.49283,-1.504552,-1.094699,-1.7659426,-1.442041,-1.540156,-1.426615,-1.487352,-1.7400752,-1.58871,-2.4571146,NA,-1.478619,-1.531006,-1.445592,-1.6417612,-1.9186725,-1.7426431,NA,-1.429731,-1.45103,-1.482489,-1.602974,-1.521961,-1.6322084,-1.483861,-1.552902,-1.618082,NA,NA,-1.972832,-2.63404486,-2.1876409,-0.955253,0,NA,
2002,-1.383134,-1.5913349,-2.2834599,-1.6046765,-2.6301049,-2.6281955,-1.318176,-1.447195,-1.335033,-1.5375382,-1.8586452,-1.411333,-1.349261,-1.406227,-1.454971,-0.916892,-1.683439,-1.322929,-1.463625,-1.317642,-1.374203,-1.6589245,-1.304338,-2.43650567,-2.42069022,-1.382734,-1.376109,-1.368717,-1.5021051,-1.8440857,-1.6268033,NA,-1.230846,-1.366412,-1.388803,-1.430928,-1.368761,-1.473459,-1.367586,-1.371387,-1.6155033,-1.469831,-2.46666023,-1.7726212,-2.41869906,-2.0565109,-0.76166,0,-1.9741972,
2003,-1.479773,-1.8434854,-2.4331598,-1.8138664,-2.82688232,-2.77846145,-1.549061,-1.8061682,-1.549923,-1.723798,-2.0306014,-1.566971,-1.624606,-1.613906,-1.660063,-1.245645,-1.8346933,-1.476121,-1.703201,-1.592815,-1.638735,-1.9725768,-1.629731,-2.5944122,-2.66281089,-1.61689,-1.536029,-1.529071,-1.725412,-1.9791099,-1.9716863,NA,-1.625489,-1.624905,-1.531646,-1.641168,-1.7385417,-1.664855,-1.698856,-1.604062,-1.8037093,-1.726077,-2.63930482,-2.0638491,-3.4384775,-2.301634,-1.023108,0,-2.2570405,
2004,-1.536476,-1.8141703,-2.4362866,-1.7771943,-2.78236841,-2.9253259,-1.677104,-1.7703026,-1.7070239,-1.7860902,-1.9690534,-1.696827,-1.687276,-1.7431105,-1.7466437,-1.269066,-1.9070811,-1.682694,-1.8166323,-1.7158781,-1.693085,-1.8546016,-1.7488861,-2.77506934,-2.8487681,-1.528955,-1.7440531,-1.7331535,-1.7850495,-2.0308546,-2.0195738,NA,-1.7290473,-1.7268436,-1.617287,-1.7371948,-1.7128793,-1.7362191,-1.7211912,-1.692153,-1.784372,-1.8215363,-2.78582925,-2.1332864,-3.910388,-2.2799956,-1.142416,0,-2.5578868,
2005,-1.256845,-1.8949553,-2.5482141,-1.7729074,-2.8917251,-2.8735031,-1.682384,-1.7645287,-1.7868308,-1.7723864,-1.983311,-1.693396,-1.661626,-1.716536,-1.7440687,-1.251549,-1.7425281,-1.695168,-1.7723776,-1.688336,-1.720279,-1.8946006,-1.723632,-2.8384278,-2.8762593,-1.569375,-1.687801,-1.708621,-1.7934758,-2.0306357,-1.8950128,NA,-1.66517,-1.8014255,-1.680115,-1.8496522,-1.7372317,-1.7511738,-1.681462,-1.8346468,-1.8172532,-1.7682708,-2.9241161,-2.0160346,-3.884133,-2.0464124,-1.111115,0,-2.9934882,
2006,-1.567506,-1.577936,-2.5101646,-1.7514706,-2.72070059,-2.9729156,-1.6397602,-1.7192007,-1.624808,-1.6489652,-1.826229,-1.531026,-1.622875,-1.6454633,-1.6529836,-1.18363,-1.7516866,-1.6408486,-1.620547,-1.60503,-1.618744,-1.7652551,-1.7389813,-2.8315878,-2.8731048,-1.586366,-1.613835,-1.610748,-1.6592548,-1.8675813,-1.588516,-1.6666008,-1.624189,-1.6395889,-1.620298,-1.621769,-1.6443071,-1.6400669,-1.622319,-1.6955908,-1.7611352,-1.8107854,-2.8655757,-2.0601423,-3.339213,-1.7707145,-1.162728,0,-2.9752482,
2007,-1.8206994,-1.7997774,-2.61552072,-1.9224792,-2.8386843,-3.204573,-1.654456,-1.7375554,-1.7553258,-1.7340977,-1.9192397,-1.608549,-1.7028804,-1.6915813,-1.7693417,-1.197245,-1.9901102,-1.7675218,-1.675469,-1.637846,-1.7343857,-1.8393365,-1.758532,-2.8531899,-3.1177364,-1.637411,-1.67385,-1.7021674,-1.7103286,-1.9298239,-1.8026114,-1.7568251,-1.649602,-1.7662805,-1.656139,-1.7457727,-1.7177108,-1.6824526,-1.6923862,-1.7869991,-1.8323245,-1.8940686,-3.0111488,-2.1240394,-3.5733375,-1.7226724,-1.063601,0,-3.1531406,
2008,-1.5844242,-1.5797041,-2.4990958,-1.7395146,-2.932639,-3.1207143,-1.6066461,-1.5902554,-1.5739965,-1.5918484,-1.8964411,-1.518581,-1.514641,-1.5947872,-1.6544743,-1.164329,-1.7617439,-1.6356685,-1.5985527,-1.5730149,-1.7181942,-1.7396576,-1.6550692,-2.6569986,-2.8794994,-1.5651124,-1.5778315,-1.568916,-1.632709,-1.8505994,-1.6769612,-1.639872,-1.5615096,-1.7756257,-1.516806,-1.6089756,-1.533711,-1.6004605,-1.5698632,-1.6164673,-1.719574,-1.8147111,-2.9904035,-2.1222265,-3.4356822,-1.5708485,-1.009889,0,-2.9810164,
2009,-1.6726308,-1.5282046,-2.2820287,-1.5758538,-2.5482831,-2.7708355,-1.405861,-1.6962456,-1.4872379,-1.4951511,-1.7363486,-1.305134,-1.373252,-1.4354237,-1.5351775,-1.124011,-1.4925837,-1.340617,-1.4989321,-1.401555,-1.4974261,-1.5988934,-1.404519,-2.6112869,-2.6973738,-1.4782709,-1.386553,-1.4859265,-1.409624,-1.7037095,-1.5025008,-1.4926584,-1.331183,-1.5677809,-1.271569,-1.5377297,-1.4423863,-1.393456,-1.5454291,-1.5133668,-1.5184564,-1.6779466,-2.8121001,-1.9290097,-3.0938883,-1.4731553,-0.98566,0,-2.6607285,
2010,-1.4916553,-1.4849724,-2.324945,-1.6780679,-2.6531651,-2.736809,-1.39058,-1.7873005,-1.408667,-1.454665,-1.8334301,-1.320858,-1.416179,-1.340766,-1.5831347,-0.973167,-1.5311789,-1.429367,-2.6736416,-1.382412,-1.5987609,-1.6833119,-1.5634896,-2.7427393,-2.5969928,-1.345691,-1.32661,-1.5741095,-1.5975439,-1.8066362,-1.5399566,-1.5814453,-1.360719,-1.5755414,-1.390787,-1.5328548,-1.4745121,-1.419176,-1.5666802,-1.6223081,-1.5549281,-1.6865277,-2.7318116,-1.9825501,-3.1343222,-1.5965378,-0.740755,0,-2.753062,
