"","year","Albania","Andorra","Armenia","Austria","Azerbaijan","Belarus","Belgium","Bosnia and Herzegovina","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","German Federal Republic","Greece","Hungary","Iceland","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Macedonia","Malta","Moldova","Montenegro","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","Tajikistan","Turkey","Turkmenistan","Ukraine","United Kingdom","Uzbekistan"
"11",2001,0.537037,0.6790123,0.7530864,0.6666667,0.7826087,0.8421053,0.6666667,0.5510204,0.6666667,0.7,0.6666667,0.6666667,0.6666667,0.6410256,0.654321,0.6233766,0.6582278,0.654321,0.6666667,0.6582278,0.6666667,0.7037037,0.6835443,0.8311688,NA,0.625,0.6708861,0.6625,0.6375,0.6419753,0.6842105,NA,0.654321,0.654321,0.6666667,0.6790123,0.675,0.6790123,0.6708861,0.691358,0.691358,NA,NA,0.6933333,0.7037037,0.7160494,0.5925926,NA
"12",2002,0.6021505,0.6116505,0.6666667,0.6116505,0.74,0.6732673,0.6372549,0.6236559,0.6470588,0.6504854,0.6019417,0.6470588,0.6568627,0.6435644,0.6116505,0.5825243,0.6237624,0.6336634,0.6504854,0.6470588,0.6504854,0.592233,0.6407767,0.7070707,0.6724138,0.6336634,0.6407767,0.6504854,0.6407767,0.592233,0.6185567,NA,0.6176471,0.6534653,0.6666667,0.64,0.6336634,0.6504854,0.6407767,0.6601942,0.592233,0.6407767,0.7,0.6470588,0.6451613,0.6019417,0.5631068,0.5714286
"13",2003,0.6363636,0.6666667,0.8021978,0.655914,0.8045977,0.8351648,0.6630435,0.6847826,0.655914,0.6451613,0.6666667,0.6451613,0.6774194,0.6521739,0.6344086,0.6666667,0.6428571,0.6344086,0.688172,0.6666667,0.6774194,0.6774194,0.6989247,0.8666667,0.8795181,0.6774194,0.655914,0.655914,0.6703297,0.6344086,0.6888889,NA,0.6774194,0.6774194,0.6703297,0.673913,0.7,0.6774194,0.6847826,0.6989247,0.6451613,0.6666667,0.8974359,0.6483516,0.7808219,0.7311828,0.6129032,0.6666667
"14",2004,0.5384615,0.6235294,0.7411765,0.6395349,0.8101266,0.7777778,0.6309524,0.6352941,0.6627907,0.6395349,0.5930233,0.6588235,0.6511628,0.6428571,0.627907,0.6,0.6923077,0.6352941,0.6705882,0.6588235,0.6470588,0.6395349,0.6588235,0.8227848,0.7605634,0.6385542,0.6511628,0.6428571,0.626506,0.5882353,0.686747,NA,0.6511628,0.6470588,0.6588235,0.6511628,0.6627907,0.6511628,0.6627907,0.6860465,0.6162791,0.6352941,0.8333333,0.6463415,0.7230769,0.7176471,0.6046512,0.7142857
"15",2005,0.4404762,0.67,0.7653061,0.65,0.8191489,0.8247423,0.65,0.5081967,0.63,0.65,0.64,0.65,0.64,0.6464646,0.64,0.63,0.6804124,0.63,0.67,0.66,0.65,0.67,0.6631579,0.8020833,0.7916667,0.66,0.65,0.65,0.6464646,0.65,0.6219512,NA,0.64,0.66,0.66,0.69,0.67,0.64,0.66,0.71,0.65,0.6464646,0.8205128,0.6421053,0.7413793,0.7040816,0.61,0.8192771
"16",2006,0.5765766,0.5714286,0.7636364,0.5982143,0.78125,0.8648649,0.5855856,0.5588235,0.5803571,0.5803571,0.5636364,0.5765766,0.5803571,0.5803571,0.5803571,0.5446429,0.5892857,0.5892857,0.5982143,0.5982143,0.5892857,0.5982143,0.5892857,0.8269231,0.8235294,0.5892857,0.5803571,0.5818182,0.5675676,0.5740741,0.5233645,0.5918367,0.5892857,0.5855856,0.5945946,0.5803571,0.5909091,0.5818182,0.5982143,0.5982143,0.5982143,0.5892857,0.8426966,0.6111111,0.7692308,0.5982143,0.5714286,0.8571429
"17",2007,0.6153846,0.6413043,0.7912088,0.6304348,0.7951807,0.8131868,0.6413043,0.6117647,0.6413043,0.6483516,0.6086957,0.6263736,0.6521739,0.6304348,0.6413043,0.5934066,0.6590909,0.6413043,0.6521739,0.6511628,0.6521739,0.6304348,0.6304348,0.8152174,0.8068182,0.6521739,0.6521739,0.6521739,0.6304348,0.6195652,0.6373626,0.6222222,0.6413043,0.6521739,0.6413043,0.6521739,0.6521739,0.6483516,0.6630435,0.6413043,0.6521739,0.6263736,0.8219178,0.6744186,0.8,0.625,0.5652174,0.8382353
"18",2008,0.5578947,0.5862069,0.7204301,0.5520833,0.7741935,0.8315789,0.5416667,0.576087,0.5473684,0.5520833,0.5416667,0.5520833,0.5473684,0.5520833,0.53125,0.5104167,0.5652174,0.53125,0.5625,0.5520833,0.5473684,0.5520833,0.53125,0.7826087,0.7934783,0.5578947,0.5520833,0.5473684,0.5578947,0.5263158,0.5625,0.5520833,0.5368421,0.5638298,0.5520833,0.5416667,0.5625,0.5625,0.5473684,0.5578947,0.5625,0.5473684,0.7816092,0.6321839,0.7758621,0.5473684,0.5157895,0.8452381
"19",2009,0.6024096,0.6117647,0.7804878,0.6117647,0.7792208,0.8292683,0.6117647,0.6144578,0.6071429,0.6071429,0.5764706,0.6117647,0.6117647,0.6117647,0.6117647,0.5176471,0.6352941,0.6235294,0.6117647,0.6190476,0.6117647,0.6,0.6235294,0.7857143,0.8101266,0.6235294,0.6235294,0.6144578,0.6190476,0.5764706,0.6117647,0.6309524,0.6117647,0.6352941,0.6117647,0.6117647,0.6117647,0.6117647,0.6117647,0.6235294,0.6117647,0.5952381,0.7746479,0.617284,0.7878788,0.6144578,0.5411765,0.8356164
"20",2010,0.7126437,0.7093023,0.7951807,0.6896552,0.7951807,0.7764706,0.6551724,0.6976744,0.6744186,0.6976744,0.6781609,0.7126437,0.6781609,0.7126437,0.6781609,0.5977011,0.7380952,0.6781609,0.7261905,0.7241379,0.6666667,0.6976744,0.686747,0.8,0.8026316,0.7058824,0.7126437,0.6781609,0.7011494,0.6781609,0.7126437,0.6781609,0.7011494,0.6666667,0.6860465,0.6896552,0.6781609,0.7011494,0.6781609,0.7093023,0.7011494,0.6781609,0.8292683,0.75,0.7808219,0.6976744,0.5977011,0.8181818
"21",2011,0.6105263,0.6185567,0.7666667,0.628866,0.797619,0.8387097,0.6185567,0.6185567,0.625,0.5934066,0.6082474,0.6185567,0.628866,0.6185567,0.6082474,0.556701,0.6521739,0.6185567,0.628866,0.628866,0.625,0.628866,0.6185567,0.7938144,0.8068182,0.6185567,0.6185567,0.6391753,0.6185567,0.6082474,0.6185567,0.6354167,0.6041667,0.6185567,0.6185567,0.6391753,0.6145833,0.628866,0.628866,0.628866,0.6145833,0.6808511,0.8604651,0.6483516,0.8192771,0.6185567,0.5463918,0.8470588
"22",2012,0.5681818,0.5795455,0.7380952,0.6022727,0.7142857,0.7764706,0.5862069,0.5795455,0.5714286,0.5697674,0.5795455,0.5795455,0.5909091,0.5862069,0.5681818,0.6022727,0.6,0.5681818,0.5862069,0.5795455,0.5681818,0.6022727,0.6022727,0.7325581,0.7176471,0.5813953,0.5795455,0.6022727,0.5681818,0.5795455,0.5909091,0.5909091,0.5681818,0.5681818,0.5795455,0.6206897,0.5795455,0.5795455,0.5909091,0.6022727,0.6022727,0.5862069,0.721519,0.6206897,0.7123288,0.5862069,0.5662651,0.7948718
"23",2013,0.5238095,0.53125,0.7301587,0.546875,0.6610169,0.7719298,0.5396825,0.5483871,0.53125,0.5238095,0.5,0.546875,0.546875,0.5396825,0.53125,0.53125,0.5483871,0.5396825,0.5396825,0.546875,0.515625,0.5396825,0.5625,0.6612903,0.6666667,0.5483871,0.546875,0.5625,0.5322581,0.5079365,0.5079365,0.546875,0.546875,0.515625,0.5396825,0.5396825,0.515625,0.546875,0.546875,0.546875,0.546875,0.546875,0.6724138,0.516129,0.6727273,0.5,0.515625,0.7540984
"24",2014,0.5526316,0.5128205,0.72,0.5194805,0.6956522,0.7671233,0.5324675,0.5131579,0.5128205,0.5394737,0.4871795,0.525641,0.5384615,0.5384615,0.5,0.5128205,0.5810811,0.5128205,0.5128205,0.525641,0.525641,0.5757576,0.5512821,0.6753247,0.6578947,0.5384615,0.5194805,0.5512821,0.3428571,0.5194805,0.5194805,0.5512821,0.5128205,0.4871795,0.5384615,0.5394737,0.5128205,0.5384615,0.5384615,0.5584416,0.525641,0.5128205,0.6986301,0.5526316,0.6557377,0.5277778,0.4871795,0.7536232
"25",2015,0.5277778,0.5068493,0.6805556,0.4657534,0.6176471,0.6716418,0.5205479,0.5068493,0.5342466,0.5479452,0.4366197,0.5416667,0.5342466,0.5616438,0.5068493,0.5205479,0.5,0.5211268,0.5342466,0.5479452,0.5068493,0.4794521,0.5479452,0.6164384,0.6056338,0.5616438,0.5479452,0.5342466,0.5,0.4583333,0.4861111,0.5205479,0.5205479,0.5068493,0.5479452,0.5342466,0.5342466,0.5342466,0.5205479,0.5555556,0.4657534,0.4794521,0.6029412,0.5,0.65,0.5352113,0.5342466,0.6666667
"26",2016,0.4774775,0.4732143,0.6153846,0.4196429,0.6060606,0.7075472,0.4778761,0.4513274,0.4690265,0.4867257,0.4247788,0.5044248,0.4910714,0.5044248,0.4513274,0.4774775,0.4615385,0.4867257,0.4867257,0.4867257,0.4594595,0.4424779,0.4732143,0.5809524,0.6666667,0.5089286,0.4955752,0.4821429,0.4424779,0.4159292,0.4495413,0.4954955,0.4732143,0.4774775,0.4910714,0.4954955,0.4821429,0.5044248,0.4955752,0.5089286,0.4336283,0.4424779,0.6021505,0.5089286,0.6142857,0.4485981,0.4690265,0.702381
"27",2017,0.5772358,0.4836066,0.5932203,0.4552846,0.6371681,0.7094017,0.5491803,0.5409836,0.5491803,0.5655738,0.4552846,0.5655738,0.5655738,0.5853659,0.4754098,0.5528455,0.4434783,0.5609756,0.5691057,0.5609756,0.5245902,0.4672131,0.5528455,0.601626,0.6363636,0.5772358,0.5772358,0.557377,0.4672131,0.4628099,0.4537815,0.5737705,0.557377,0.5528455,0.5691057,0.5528455,0.557377,0.5737705,0.5737705,0.5737705,0.4754098,0.4710744,0.6388889,0.5491803,0.6511628,0.5,0.557377,0.7378641
"28",2018,0.5744681,0.5319149,0.7157895,0.5052632,0.6888889,0.7849462,0.5684211,0.5888889,0.5578947,0.5789474,0.5368421,0.5578947,0.5789474,0.6105263,0.5578947,0.5578947,0.5604396,0.5789474,0.6,0.4947368,0.5473684,0.5368421,0.5368421,0.6702128,0.6781609,0.5789474,0.5684211,0.5684211,0.5578947,0.5052632,0.4782609,0.5789474,0.5531915,0.5789474,0.5638298,0.5894737,0.5894737,0.5638298,0.5789474,0.5894737,0.5263158,0.5053763,0.6703297,0.606383,0.671875,0.5494505,0.5578947,0.75
