year,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,China,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,German Federal Republic,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,United States of America,Uzbekistan
1991,0.32596059999999993,NA,0.31237820000000005,0.3655862,0.41111200000000003,0.20027170000000005,1.0700762,0.9156742,0.6966612,1.0204525,NA,1.004272,NA,0.6537201999999999,0.5444361999999999,0.5680751999999999,1.2128972,NA,1.0499581999999998,0.22772729999999997,0.5595522,0.6227851999999999,0.4356162,0.9126462000000001,NA,NA,0.5989942,0.42522420000000005,0.9760322,NA,0.21015870000000003,NA,NA,1.0612871999999998,0.6371212,0.6349062,0.6866271999999999,0.7857481999999999,0,NA,NA,0.29701259999999996,0.5006631999999999,NA,NA,0.005362599999999995,NA,0.3460284,1.5317622000000002,2.3035692,NA
1992,0.1396120999999999,NA,0.7572424,0.005152999999999963,0.8525423999999999,0.6827589,0.48758900000000005,1.3444978,0.3046960000000001,1.8338538,0.03700199999999998,1.6483713999999998,NA,0.18607400000000007,0.051597000000000115,0.182512,0.7046060000000001,NA,0.46764399999999995,0.21477029999999997,0.22488700000000006,0.17798800000000004,0.03611900000000001,0.46259000000000006,0.5447531,0.4116985999999999,0.11386300000000005,0.013878000000000057,0.48923099999999997,NA,0.3499169999999999,0.029239000000000015,NA,0.4682120000000001,0.10977199999999998,0.20436999999999994,0.1796850000000001,0.331396,0,NA,0.17497300000000005,0.1529543,0.05164100000000005,NA,1.2151414999999999,0.40278729999999996,1.04463529,0.6731235,0.9927329999999999,1.8932790000000002,NA
1993,0.40582130000000005,0.19360599999999994,0.7165018000000001,0.19797600000000015,1.0782450000000001,0.8827401000000001,0.24877599999999989,1.37681864,0.19394099999999992,2.7294780000000003,0.18909700000000007,1.4283873,0.16643799999999986,0.043513000000000135,0.271706,0.03730499999999992,0.6041749999999999,0.08077299999999998,0.37572300000000003,0.3634925000000001,0.036327999999999916,0.01924999999999999,0.16412500000000008,0.27168799999999993,0.8024606000000001,0.9442496,0.2679180000000001,0.23675500000000005,0.26453400000000005,0.7221347,0.4389278000000001,0.15607400000000005,NA,0.3407499999999999,0.01641300000000001,0.06323100000000004,0.049641999999999964,0.13791399999999987,0,0.025101999999999958,0.21155199999999996,0.27264,0.13721300000000003,NA,0.8099047,0.5345342000000001,1.0029126000000002,1.0212201,0.8685579999999999,1.652823,NA
1994,0.06400800000000006,0.13712199999999997,0.4288387,0.03160099999999999,0.8290539,0.5368868,0.44736200000000004,0.9859673,0.14985800000000005,2.743475,0.19776650000000007,1.2723669,0.34956699999999996,0.28652199999999994,0.05116100000000001,0.36762800000000007,0.952467,0.08836200000000005,0.47460199999999997,0.08970999999999996,0.425511,0.228321,0.02046799999999993,0.47696499999999986,0.5612086000000001,1.04037157,0.20279599999999998,0.17475799999999997,0.45076000000000005,0.03720800000000013,0.08299000000000012,0.10797600000000007,NA,0.4946539999999999,0.24180000000000001,0.3572759999999999,0.26860400000000006,0.320573,0,0.34242799999999995,0.04983800000000005,0.08255799999999991,0.020456999999999947,NA,0.2772538,0.23801090000000003,0.8445117,0.36932620000000005,1.240688,1.9047299999999998,0.6937692
1995,0.2103717999999999,0.04339599999999999,0.41779749999999993,0.03776399999999991,0.8342810999999999,0.6112449999999999,0.6547690000000002,0.5305163999999999,0.014518999999999949,2.6611909999999996,0.16312629999999995,1.1462400799999999,0.06805100000000008,0.059719999999999995,0.025409000000000015,0.08488400000000018,0.7381950000000002,0.7948270000000002,0.13788500000000004,0.418998,0.1426550000000002,0.018046000000000006,0.14843309999999987,0.13493500000000003,0.5917739,1.03746689,0.635084,0.051795000000000035,0.08979100000000018,0.19713199999999986,0.32568719999999995,0.04021599999999981,NA,0.21381000000000006,0.0206360000000001,0.11253200000000008,0.0072770000000002,0.04450200000000004,0,0.07279900000000006,0.005292999999999992,0.085615,0.055868999999999946,NA,0.47706799999999994,0.3402390999999999,1.2575481,0.5991395999999999,1.3679290000000002,1.9760469999999999,0.1899038999999999
1996,0.44167999999999985,0.5377669999999999,0.059675400000000045,0.35156600000000005,0.46620090000000003,0.20083420000000007,0.81803,0.18782120000000002,0.572489,2.081379,0.28949,0.08692770000000005,0.633596,0.675686,0.5481989999999999,0.758345,1.130709,0.11124339999999999,0.615664,0.677473,0.7113669999999999,0.624563,0.2639689999999999,0.6669039999999999,0.22234940000000003,0.4315319,0.5919989999999999,0.6386270000000001,0.76898,0.3488819999999999,0.40425230000000006,0.28919399999999995,NA,0.833755,0.605863,0.598843,0.684728,0.6327479999999999,0,0.5812029999999999,0.603194,0.590139,0.3349659999999999,NA,0.007877200000000029,0.006602599999999903,1.6005641000000002,0.1462553000000001,1.394093,2.363142,0.02119699999999991
1997,0.5550789000000002,0.7292239000000001,0.1852271000000001,0.5409969,0.40214759999999994,0.26616639999999997,0.9020239,NA,0.8109499000000001,1.9065541000000001,0.5522649000000001,0.0579132,0.7835729000000001,0.7210869000000001,0.6982439000000001,0.7352369,1.3344499,0.1387252000000001,0.8620249000000001,0.7788519000000002,0.7571219000000001,0.8226359,0.47355990000000003,0.8558419,0.24077629999999994,0.35430909999999993,0.7563129000000001,0.7310399,0.9394339000000002,0.5255409000000001,0.23263769999999995,0.44970889999999997,NA,0.9604249000000001,0.7321499000000001,0.7938309,0.7675879,0.7030069,0,0.7287879,0.6997559000000001,0.7802089,0.5727829000000001,NA,0.31104459999999995,0.033293100000000075,0.42829249999999996,0.0955320999999999,1.5166999000000003,2.3417009,0.07466860000000008
1998,0.6984548,0.6912548,0.019234399999999985,0.6653178000000001,0.35302900000000004,0.385347,0.7784677999999999,NA,0.7355938000000001,1.0119495,0.49307009999999996,0.03451649999999995,0.7427587999999999,0.6903427999999999,0.7295687999999999,0.7218517999999999,1.1319968,0.0440237,0.7878488,0.6942498,0.8184627999999999,0.6879128,0.5518417999999999,0.7403638,0.161578,0.08060800000000001,0.7115607999999999,0.7044088000000001,0.7841268,0.46006959999999997,0.026582800000000018,0.489989,NA,0.7804327999999999,0.6911417999999999,0.7184947999999999,0.6849278,0.7372877999999999,0,0.7113387999999999,0.6969628,0.7235547999999999,0.6099628,NA,0.29805740000000003,0.20853710000000003,0.48282350500000004,0.07061909999999999,1.2595117999999998,2.2290648,0.19346770000000002
1999,0.6141467,0.7181885000000001,0.0595214,0.6603595,0.1883378,0.42163804,0.8784505,0.36496789999999996,0.8324925000000001,1.1016515,0.34102899999999997,0.35308500000000004,0.7258405000000001,0.8669335,0.8639775000000001,0.7261075000000001,1.1906235,0.40157250000000005,1.0049355,0.7849955,0.9604835,0.8771305,0.5753991,0.7854855000000001,0.021542400000000017,NA,0.7275855,0.8269275,0.8837515,0.2891927,0.38369610000000004,0.6099364,NA,0.9301975,0.8028715,0.8004095,0.7830385,0.8160355000000001,0,0.7880455,0.7852065000000001,0.8022935,0.6548745,NA,0.3100847,0.28045709999999996,0.44206571,0.03898380000000001,1.3320305000000001,2.1589975,0.3136117
2000,1.1255552,0.8643872000000001,0.07091320000000001,0.8526262,0.15160786999999998,0.6770166999999999,1.0619362,0.47659450000000003,0.8636772000000001,1.1782717999999999,0.8671162000000001,0.4109826000000001,0.9559852,1.0017502,0.9584552,0.9838492000000001,1.2565842,0.6765398,1.0303132,0.9212272000000001,1.0554302,1.0014072,0.6758721000000001,0.9025942,0.1750867,0.08568508,1.0279532,0.9776212,1.0327612,0.7975391000000001,0.48316650000000005,0.6980661,NA,1.0421292,0.9439652000000001,0.9755802,0.8419072000000001,0.9134382000000001,0,0.8979542,0.9298611999999999,0.8721251999999999,0.8339662000000001,NA,0.034495899999999996,0.5012959,0.1176044,0.2206757,1.5124782,2.3871021999999997,0.28208710000000004
2001,1.0649812,0.8001052,0.00613169999999999,0.7701202,0.25474543,0.3096487,0.9473372,0.8356142,0.8801232000000001,1.0080573,0.6453473000000001,0.4477586,0.9137432000000001,0.9958161999999999,0.9116312,0.8999092,1.3097622,0.6385186,0.9624202,0.8643052,0.9778462000000001,0.9171092000000001,0.664386,0.8157512,0.05265339999999999,NA,0.9258422,0.8734552,0.9588692000000001,0.7627,0.4857887000000001,0.6618181000000001,NA,0.9747302,0.9534312,0.9219722000000001,0.8014872,0.8825002,0,0.7722528000000001,0.9206002,0.8515592000000001,0.7863792000000001,NA,NA,0.43162920000000005,0.22958366,0.2168203,1.4492082,2.4044611999999996,NA
2002,1.121281309,0.913080409,0.220955409,0.899738809,0.125689591,0.12378019100000001,1.186239309,1.057220309,1.169382309,1.2445616910000001,0.966877109,0.645770109,1.093082309,1.155154309,1.098188309,1.049444309,1.587523309,0.820976309,1.181486309,1.040790309,1.1867733089999999,1.130212309,0.845490809,1.2000773089999999,0.067909639,0.083725089,1.121681309,1.128306309,1.135698309,1.002310209,0.6603296089999999,0.877612009,NA,1.273569309,1.138003309,1.115612309,1.073487309,1.135654309,0,1.030956309,1.136829309,1.133028309,0.888912009,1.034584309,0.037755079,0.731794109,0.08571624900000001,0.44790440899999995,1.7427553089999999,2.504415309,0.530218109
2003,0.9767600999999999,0.6130477,0.023373299999999986,0.6426667,0.37034922000000003,0.32192835000000003,0.9074720999999999,0.6503649,0.9066101,1.1951068,0.7327351,0.4259317,0.8895621,0.8319270999999999,0.8426271000000001,0.7964701000000001,1.2108881,0.6218397999999999,0.9804120999999999,0.7533321,0.8637181,0.8177981000000001,0.4839563,0.8268021000000001,0.1378791,0.20627779000000002,0.8396431,0.9205041,0.9274621000000001,0.7311211,0.47742320000000005,0.4848468,NA,0.8310441,0.8316281000000001,0.9248871000000001,0.8153651,0.7179914,0,0.7916780999999999,0.7576771,0.8524711,0.6528238,0.7304561,0.18277172000000003,0.39268400000000003,0.9819444,0.1548991,1.4334251,2.4565331,0.19949260000000002
2004,1.0288662,0.7511719,0.1290556,0.7881479,0.21702621,0.3599837,0.8882382,0.7950396,0.8583183,0.9359349,0.779252,0.5962888,0.8685152,0.8780661999999999,0.8222317,0.8186985,1.2962762,0.6582611,0.8826482,0.7487099,0.8494640999999999,0.8722572,0.7107406,0.8164561,0.20972714,0.2834259,1.0363872,0.8212891,0.8321887,0.7802927,0.5344876,0.5457684,NA,0.8362949,0.8384986,0.9480552,0.8281474,0.8524629,0,0.8291231,0.844151,0.8731891999999999,0.7809702,0.7438059,0.22048705000000002,0.4320558,1.3450458,0.2853466,1.4229262,2.5653422,0.007455400000000001
2005,1.3438484000000002,0.7057381,0.05247929999999999,0.827786,0.2910317,0.2728097,0.9183093999999999,0.8361647,0.8138626,0.9045846,0.828307,0.6173824,0.9072973999999999,0.9390674,0.8841574,0.8566247,1.3491444000000001,0.8581653,0.9055254,0.8283157999999999,0.9123574,0.8804143999999999,0.7060928,0.8770614,0.2377344,0.2755659,1.0313184000000002,0.9128923999999999,0.8920723999999999,0.8072176,0.5700577,0.7056806,NA,0.9355234,0.7992679,0.9205784,0.7510412,0.8634617,0,0.8495195999999999,0.9192314,0.7660466,0.7834402,0.8324226,0.3234227,0.5846588,1.2834396,0.554281,1.4895784,2.6006934,0.3927948
2006,1.12965187,1.1192218699999998,0.18699327,0.94568727,0.023542720000000003,0.27575773,1.05739767,0.97795717,1.0723498699999998,0.65226153,1.04819267,0.87092887,1.1661318699999998,1.07428287,1.05169457,1.0441742699999998,1.5135278699999999,0.94547127,1.0563092699999999,1.0766108699999999,1.09212787,1.0784138699999999,0.93190277,0.95817657,0.13442992999999998,0.17594693,1.11079187,1.08332287,1.08640987,1.03790307,0.82957657,1.1086418699999998,1.03055707,1.07296887,1.05756897,1.0768598699999998,1.0753888699999998,1.05285077,0,1.05709097,1.07483887,1.00156707,0.9360226700000001,0.88637247,0.16841783,0.63701557,0.64205513,0.92644337,1.5344298699999999,2.6971578700000003,0.27809033
2007,0.91621179,0.93713379,0.12139047,0.81443199,0.10177311,0.46766180999999996,1.0824551900000001,0.99935579,0.98158539,0.52427641,1.0028134899999999,0.8176714900000001,1.1283621899999998,1.03403079,1.04532989,0.96756949,1.5396661900000002,0.74680099,0.96938939,1.0614421900000002,1.0990651900000001,1.00252549,0.89757469,0.97837919,0.11627871000000001,0.38082521,1.09950019,1.06306119,1.03474379,1.0265825899999999,0.80708729,0.93429979,0.98008609,1.08730919,0.97063069,1.0807721899999998,0.99113849,1.01920039,0,1.0544585899999999,1.04452499,0.94991209,0.90458669,0.84284259,0.27423761,0.61287179,0.83642631,1.01423879,1.67331019,2.73691119,0.41622941
2008,1.1817134999999999,1.1864336,0.2670419,1.0266231000000001,0.16650130000000002,0.3545766,1.1594916,1.1758823,1.1921412,0.41335940000000004,1.1742892999999999,0.8696966,1.2475567,1.2514967,1.1713505,1.1116633999999999,1.6018087,1.0043938,1.1304691999999998,1.1675849999999999,1.1931228,1.0479435000000001,1.0264801000000001,1.1110685,0.1091391,0.11336170000000001,1.2010253,1.1883062,1.1972217,1.1334287,0.9155383,1.0891765,1.1262657,1.2046280999999999,0.990512,1.2493317,1.1571620999999999,1.2324267,0,1.1656772,1.1962745,1.1496704,1.0465637,0.9514266,0.22426580000000002,0.6439112,0.6695445,1.1952892,1.7562487,2.7661377,0.21487869999999998
2009,0.7196442900000001,0.86407049,0.11024639,0.8164212900000001,0.15600801,0.37856041,0.98641409,0.69602949,0.90503719,0.51630191,0.89712399,0.65592649,1.08714109,1.0190230900000001,0.9568513900000001,0.8570975900000001,1.26826409,0.8996913900000001,1.05165809,0.8933429900000001,0.9907200899999999,0.8948489900000001,0.79338169,0.98775609,0.21901181,0.30509871,0.91400419,1.0057220900000001,0.90634859,0.9826510900000001,0.6885655900000001,0.8897742900000001,0.89961669,1.06109209,0.82449419,1.12070609,0.8545453900000001,0.94988879,0,0.99881909,0.84684599,0.87890829,0.87381869,0.71432849,0.41982501,0.46326538999999994,0.70161321,0.91911979,1.40661509,2.3922750899999996,0.26845341
2010,0.8754601599999999,0.88214306,0.04217046000000001,0.68904756,0.28604964,0.36969354,0.97653546,0.57981496,0.9584484600000001,0.90285284,0.91245046,0.53368536,1.04625746,0.9509364599999999,1.02634946,0.7839807599999999,1.39394846,0.8359365599999999,0.9377484599999999,0.30652614,0.98470346,0.76835456,0.68380356,0.80362586,0.37562384000000004,0.22987733999999999,1.02142446,1.0405054599999999,0.79300596,0.7695715599999999,0.5604792599999999,0.8271588599999999,0.78567016,1.00639646,0.79157406,0.97632846,0.83426066,0.89260336,0,0.94793946,0.80043526,0.74480736,0.81218736,0.68058776,0.36469613999999995,0.38456535999999997,0.76720674,0.7705776599999999,1.62636046,2.3671154600000004,0.38594653999999995
2011,1.11264415,1.00294285,0.27931165,0.9148220499999999,0.33478385,0.35257935,1.16465215,0.96072615,1.10547515,0.51925705,1.06232945,0.79894725,1.11856715,1.09737815,1.10589515,1.04839115,1.42022815,0.95989305,1.06243215,0.96638155,1.0365259500000001,0.9610482499999999,0.96665775,1.06509155,0.24369535000000003,0.13349945000000002,1.11616915,1.11290715,0.99596125,1.01524105,0.81270555,1.01139395,0.96590825,1.18011315,0.96239935,1.11599915,0.99575995,1.05233115,0,1.09616815,1.00577285,1.04757765,1.01281455,0.73445175,0.16424135,0.6434655499999999,0.6192214500000001,0.70915395,1.59402315,2.4713831500000003,0.25183225000000004
