"","country_origin_id","year","hhi"
"1","ARM",1996,10000
"2","ARM",1997,10000
"3","ARM",2004,10000
"4","ARM",2005,10000
"5","ARM",2006,10000
"6","ARM",2007,10000
"7","ARM",2008,10000
"8","ARM",2009,7771.87359660571
"9","ARM",2010,5014.9100679182
"10","ARM",2011,5002.21617820491
"11","ARM",2012,6956.59520570604
"12","ARM",2013,6347.33884414361
"13","ARM",2014,10000
"14","ARM",2015,10000
"15","ARM",2016,10000
"16","AZE",1996,10000
"17","AZE",1997,7979.56750652982
"18","AZE",1998,8579.34458643925
"19","AZE",1999,10000
"20","AZE",2000,10000
"21","AZE",2001,9968.05066794893
"22","AZE",2002,4854.00077447837
"23","AZE",2003,4157.94625444207
"24","AZE",2004,8828.13609762294
"25","AZE",2005,4262.99906322239
"26","AZE",2006,2000.28836709028
"27","AZE",2007,7245.74223307395
"28","AZE",2008,4197.92872531185
"29","AZE",2009,4750.77255819191
"30","AZE",2010,3054.56856076657
"31","AZE",2011,3983.64866703505
"32","AZE",2012,4549.01121426638
"33","AZE",2013,4114.42891429066
"34","AZE",2014,5787.21888248975
"35","AZE",2015,4712.49989071765
"36","AZE",2016,5933.77012757161
"37","AZE",2017,6066.94869932959
"38","BLR",1995,8438.79209594444
"39","BLR",1996,8085.33707569917
"40","BLR",1997,7745.60739305537
"41","BLR",1998,10000
"42","BLR",1999,6724.25344301545
"43","BLR",2000,6033.32966810501
"44","BLR",2001,4302.48741471918
"45","BLR",2002,6271.70564105678
"46","BLR",2003,4921.14056790384
"47","BLR",2004,5825.22719361855
"48","BLR",2005,6827.24583996436
"49","BLR",2006,6410.13570537157
"50","BLR",2007,6669.67532281913
"51","BLR",2008,7061.44440709961
"52","BLR",2009,6433.08107775487
"53","BLR",2010,4760.46560661449
"54","BLR",2011,4110.00408140469
"55","BLR",2012,2983.01544196498
"56","BLR",2013,2493.23216577733
"57","BLR",2014,2726.89754625062
"58","BLR",2015,2789.74279447527
"59","BLR",2016,3516.18707658208
"60","BLR",2017,5961.88923150803
"61","GEO",1996,9332.06436554035
"62","GEO",1997,6960.36094894309
"63","GEO",1998,8660.48432165378
"64","GEO",1999,6491.27168582674
"65","GEO",2000,7906.54583278626
"66","GEO",2001,8581.46417252869
"67","GEO",2002,5410.69418166883
"68","GEO",2003,8358.2701596012
"69","GEO",2004,10000
"70","GEO",2005,5055.91382594179
"71","GEO",2006,4533.27253220916
"72","GEO",2007,6144.39739328956
"73","GEO",2008,4299.58827023808
"74","GEO",2009,5032.99933119367
"75","GEO",2010,4576.57304156541
"76","GEO",2011,6542.1418304593
"77","GEO",2012,10000
"78","GEO",2015,10000
"79","GEO",2016,10000
"80","GEO",2017,10000
"81","KAZ",1995,10000
"82","KAZ",1996,9461.89146161073
"83","KAZ",1997,9005.49904616399
"84","KAZ",1998,9363.14931437155
"85","KAZ",1999,2995.66178665647
"86","KAZ",2000,4294.38012602659
"87","KAZ",2001,2501.74288164264
"88","KAZ",2002,1855.77695208495
"89","KAZ",2003,1328.74663836407
"90","KAZ",2004,1598.36039436127
"91","KAZ",2005,1520.0576254686
"92","KAZ",2006,1856.6264326803
"93","KAZ",2007,1981.87713362119
"94","KAZ",2008,2712.70299274534
"95","KAZ",2009,2192.08762537286
"96","KAZ",2010,1550.94419992142
"97","KAZ",2011,1864.59562329847
"98","KAZ",2012,1701.40754165412
"99","KAZ",2013,1736.93067273266
"100","KAZ",2014,2043.27977761717
"101","KAZ",2015,1916.75835789253
"102","KAZ",2016,1557.70604945844
"103","KAZ",2017,1794.40740341724
"104","KGZ",2006,10000
"105","KGZ",2010,10000
"106","KGZ",2011,5194.31136906689
"107","KGZ",2012,5099.16104133699
"108","KGZ",2013,10000
"109","KGZ",2014,10000
"110","KGZ",2015,9374.25722730635
"111","KGZ",2016,8794.47816941369
"112","KGZ",2017,5383.63440193119
"113","MDA",1999,4693.91059379653
"114","MDA",2000,10000
"115","MDA",2001,10000
"116","MDA",2002,10000
"117","MDA",2003,5937.08530951405
"118","MDA",2004,10000
"119","MDA",2006,10000
"120","MDA",2008,10000
"121","MDA",2009,5330.56814830006
"122","MDA",2010,5107.99380993983
"123","MDA",2011,10000
"124","MDA",2012,7754.44673944456
"125","MDA",2013,5001.63557755276
"126","MDA",2014,5074.59659246454
"127","MDA",2015,10000
"128","TJK",2009,10000
"129","TJK",2010,10000
"130","TJK",2011,10000
"131","TJK",2012,10000
"132","TJK",2015,10000
"133","TJK",2016,10000
"134","TKM",1996,5375.57875783797
"135","TKM",1997,8130.9722090453
"136","TKM",1998,10000
"137","TKM",1999,9991.96320075534
"138","TKM",2000,9212.61036929067
"139","TKM",2001,8039.56044623283
"140","TKM",2002,8308.2030583403
"141","TKM",2003,7603.53965401919
"142","TKM",2004,5949.75847978854
"143","TKM",2005,6032.05989444983
"144","TKM",2006,7586.74918915878
"145","TKM",2007,9443.9025802479
"146","TKM",2008,8667.58329268763
"147","TKM",2009,6701.45196027915
"148","TKM",2010,9613.69574133299
"149","TKM",2011,7581.45164616468
"150","TKM",2012,9589.61135251052
"151","TKM",2013,9536.3378809289
"152","TKM",2014,9801.54245817356
"153","TKM",2015,9181.66316265659
"154","TKM",2016,8746.58487631097
"155","TKM",2017,9896.24434952052
"156","UKR",1995,9307.7318942668
"157","UKR",1996,5371.49433753272
"158","UKR",1997,4789.50859705486
"159","UKR",1998,4240.44144032439
"160","UKR",1999,2715.57386923835
"161","UKR",2000,3019.57031890631
"162","UKR",2001,3737.07417631157
"163","UKR",2002,2060.41010689673
"164","UKR",2003,2577.88763727659
"165","UKR",2004,2704.88819973024
"166","UKR",2005,3180.60845910329
"167","UKR",2006,2402.02040548682
"168","UKR",2007,1825.45771375356
"169","UKR",2008,4960.98383369174
"170","UKR",2009,1662.74902244046
"171","UKR",2010,1328.9657915988
"172","UKR",2011,1678.27921715944
"173","UKR",2012,2790.91294683421
"174","UKR",2013,2407.08662498168
"175","UKR",2014,4861.91418004049
"176","UKR",2015,6229.36552583783
"177","UKR",2016,7960.91067148372
"178","UKR",2017,8993.94026135618
"179","UZB",1996,10000
"180","UZB",1997,10000
"181","UZB",1999,10000
"182","UZB",2000,6148.0970016665
"183","UZB",2001,4432.63034624258
"184","UZB",2002,3565.86133746066
"185","UZB",2003,5694.19995847378
"186","UZB",2004,4097.94582803772
"187","UZB",2005,2164.19077941447
"188","UZB",2006,2503.45853437715
"189","UZB",2007,2534.61192090519
"190","UZB",2008,6599.51823181148
"191","UZB",2009,7460.05297308769
"192","UZB",2010,5505.09499543032
"193","UZB",2011,5288.03870740864
"194","UZB",2012,5872.84389080352
"195","UZB",2013,7032.97867367597
"196","UZB",2014,6887.69548654164
"197","UZB",2015,4953.97719390277
"198","UZB",2016,7224.63516844962
"199","UZB",2017,7407.6872265352
