,,Market Value of U.S. Holdings of Foreign Securities at the End of the Year Shown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,Millions of dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2004,2004,2004,2004,2003,2003,2003,2003,2001,2001,2001,2001,1997,1997,1997,1997,1994,1994,1994,1994
Country code,Country,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt,Total,Equity,LT Debt,ST Debt
10189,Austria,"32,061","19,154","11,644","1,263","18,354","11,309","6,995",50,"17,331","10,732","6,577",22,"19,523","11,417","7,713",392,"18,777","11,349","7,426",2,"14,408","8,824","5,483",101,"11,522","6,108","5,390",24,"18,070","12,286","5,114",670,"14,973","9,876","4,734",364,"9,923","5,564","4,147",212,"29,008","20,075","6,447","2,486","26,568","18,144","5,001","3,424","17,280","10,724","5,113","1,444","15,249","8,976","4,682","1,591","10,371","3,925","5,244","1,201","4,336","1,204","2,306",826,"5,661","3,707","1,954",n.a.,"2,626","1,223","1,403",n.a.
16527,Azerbaijan,"1,629",0,"1,629",0,"1,178",0,"1,178",0,805,0,805,*,654,0,654,0,231,0,231,0,87,0,87,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,0,0,0,n.a.
35319,Bahamas,"8,098","6,126","1,770",203,"5,978","5,141",708,128,"6,869","5,773","1,044",52,"8,424","7,060","1,354",10,"5,646","4,594","1,040",12,"5,468","3,568","1,705",194,"5,253","3,162","1,294",797,"2,009","1,177",766,66,"2,170","1,494",662,15,"1,285",601,525,158,"2,273","1,313",909,52,"1,673","1,064",458,152,"3,266","2,327",930,9,"2,652","1,779",872,1,"2,912","1,819","1,070",23,"1,647","1,162",478,7,910,568,342,n.a.,"1,064",88,976,n.a.
40703,Bahrain,"1,109",123,985,0,666,237,429,0,420,213,207,0,864,346,518,0,401,23,378,0,422,23,379,21,659,16,563,80,328,19,259,50,58,11,47,0,90,53,37,0,259,197,62,0,53,16,37,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40746,Bangladesh,924,859,65,0,719,660,59,0,627,566,61,0,646,580,66,0,244,235,9,1,103,102,0,*,80,79,0,1,69,69,0,0,13,12,0,1,47,45,0,2,167,163,0,4,4,4,0,0,n.a.,n.a.,0,0,0,0,0,0,n.a.,0,n.a.,0,4,4,0,0,7,7,0,n.a.,5,5,0,n.a.
30155,Barbados,"2,352",73,"2,279",0,"2,837",4,"2,833",0,"2,803",7,"2,795",0,"2,471",3,"2,468",0,"1,831",16,"1,815",0,"1,684",15,"1,669",0,"1,580",17,"1,563",0,"1,476",12,"1,464",0,"1,366",61,"1,304",0,400,44,356,0,426,58,367,0,323,25,298,0,272,n.a.,272,0,256,10,246,0,253,2,251,0,54,1,53,0,17,1,16,n.a.,0,0,0,n.a.
16209,Belarus,"1,012",372,640,0,329,0,329,0,206,0,206,0,396,0,396,0,312,0,312,0,408,0,408,0,239,0,239,0,109,*,109,0,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,0,n.a.,0,0,0,0,0,3,1,2,n.a.,0,0,0,n.a.
10308,Belgium and Luxembourg (2),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"7,329","5,021","2,308",n.a.
10251,Belgium (2),"72,481","55,919","8,706","7,857","58,304","47,385","7,167","3,751","68,230","56,463","7,659","4,109","63,444","50,298","9,168","3,978","64,841","47,715","16,930",196,"45,545","38,755","6,614",177,"34,016","28,123","5,288",604,"35,453","28,792","4,404","2,257","36,751","28,257","7,596",898,"23,231","15,794","6,823",614,"37,905","31,671","5,106","1,127","35,968","28,805","5,654","1,509","24,664","19,947","4,215",502,"23,973","18,083","5,213",677,"16,987","10,621","5,143","1,223","12,728","8,415","3,725",588,"9,169","6,099","3,070",n.a.,n.a.,n.a.,n.a.,n.a.
35718,Belize,46,2,43,0,44,1,44,0,331,1,330,0,323,2,321,0,96,32,63,0,84,40,44,0,309,18,290,0,151,18,133,0,76,17,59,0,73,23,49,0,88,57,32,0,52,27,25,0,50,41,9,0,60,26,34,0,77,25,52,0,8,7,1,0,34,29,5,n.a.,5,5,0,n.a.
51802,Benin,*,*,0,0,*,*,0,0,*,*,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,0,0,0,n.a.
35602,Bermuda,"263,130","228,790","34,292",47,"246,567","217,087","29,480",0,"216,632","186,570","30,061",1,"227,490","197,592","29,749",148,"211,126","178,943","31,949",234,"178,344","149,512","28,458",374,"160,894","135,082","25,404",408,"159,544","134,084","25,380",81,"147,962","121,133","26,829",*,"163,128","143,342","19,214",572,"273,275","256,399","16,727",149,"208,049","191,853","13,566","2,631","186,662","173,842","11,232","1,588","164,074","153,549","9,862",663,"116,295","107,538","8,668",89,"125,478","118,878","6,329",271,"26,606","22,617","3,989",n.a.,"9,115","8,356",759,n.a.
