year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1996,YUG,IDN,ALL,6063448.26,0.022%
1996,YUG,IND,ALL,7055490.91,0.026%
1996,YUG,IRN,ALL,1354000,0.0049%
1996,YUG,IRQ,ALL,278000,0.0010%
1996,YUG,ISR,ALL,7092433.29,0.026%
1996,YUG,JOR,ALL,890000,0.0032%
1996,YUG,JPN,ALL,659011.87,0.0024%
1996,YUG,KAZ,ALL,335000,0.0012%
1996,YUG,KGZ,ALL,16000,0.000058%
1996,YUG,KOR,ALL,8771218.39,0.032%
1996,YUG,KWT,ALL,1000,0.0000036%
1996,YUG,LAO,ALL,2000,0.0000073%
1996,YUG,LBN,ALL,2304000,0.0084%
1996,YUG,MMR,ALL,7000,0.000025%
1996,YUG,MNG,ALL,144682.37,0.00053%
1996,YUG,MYS,ALL,3493064.67,0.013%
1996,YUG,NPL,ALL,1000,0.0000036%
1996,YUG,PAK,ALL,44000,0.00016%
1996,YUG,SAU,ALL,419605.83,0.0015%
1996,YUG,SYR,ALL,2360000,0.0086%
1996,YUG,THA,ALL,2627074.72,0.0096%
1996,YUG,TKM,ALL,120000,0.00044%
1996,YUG,TUR,ALL,25801131.98,0.094%
1996,YUG,UZB,ALL,307000,0.0011%
1996,YUG,XXB,ALL,7000,0.000025%
1996,YUG,ALB,ALL,10180645.71,0.037%
1996,YUG,AUT,ALL,29025598.86,0.11%
1996,YUG,BGR,ALL,73097406.37,0.27%
1996,YUG,BIH,ALL,365210000,1.3%
1996,YUG,BLR,ALL,3394000,0.012%
1996,YUG,BLX,ALL,19258562.35,0.070%
1996,YUG,CHE,ALL,73611009.63,0.27%
1996,YUG,CZE,ALL,17005460.67,0.062%
1996,YUG,DEU,ALL,171971191.06,0.63%
1996,YUG,DNK,ALL,4763735.13,0.017%
1996,YUG,ESP,ALL,1071000,0.0039%
1996,YUG,EST,ALL,10248,0.000037%
1996,YUG,FIN,ALL,2231666.17,0.0081%
1996,YUG,FRA,ALL,65456316,0.24%
1996,YUG,GBR,ALL,34129851.92,0.12%
1996,YUG,GRC,ALL,88387362.36,0.32%
1996,YUG,HRV,ALL,470331,0.0017%
1996,YUG,HUN,ALL,32913130.47,0.12%
1996,YUG,IRL,ALL,4024104,0.015%
1996,YUG,ISL,ALL,385010.13,0.0014%
1996,YUG,ITA,ALL,265338782.81,0.97%
1996,YUG,LTU,ALL,169255.79,0.00062%
1996,YUG,LVA,ALL,201102.05,0.00073%
1996,YUG,MDA,ALL,2080546.6,0.0076%
1996,YUG,MKD,ALL,177693334.37,0.65%
1996,YUG,MLT,ALL,1471809.13,0.0054%
1996,YUG,NLD,ALL,24181781.88,0.088%
1996,YUG,NOR,ALL,8750650.07,0.032%
1996,YUG,POL,ALL,11409044.33,0.042%
1996,YUG,PRT,ALL,2332939.89,0.0085%
1996,YUG,ROU,ALL,57770758.45,0.21%
1996,YUG,RUS,ALL,167362584.16,0.61%
1996,YUG,SVK,ALL,9635734.11,0.035%
1996,YUG,SVN,ALL,33737492.04,0.12%
1996,YUG,SWE,ALL,5963363,0.022%
1996,YUG,UKR,ALL,17665436.95,0.064%
1996,YUG,BHS,ALL,687000,0.0025%
1996,YUG,BMU,ALL,50000,0.00018%
1996,YUG,CAN,ALL,4036130.82,0.015%
1996,YUG,CRI,ALL,161000,0.00059%
1996,YUG,CYM,ALL,84000,0.00031%
1996,YUG,GRD,ALL,1685,0.0000061%
1996,YUG,GTM,ALL,26648.71,0.000097%
1996,YUG,JAM,ALL,135551.68,0.00049%
1996,YUG,LCA,ALL,1139,0.0000041%
1996,YUG,MEX,ALL,2690003.92,0.0098%
1996,YUG,NIC,ALL,4117,0.000015%
1996,YUG,PAN,ALL,1773000,0.0065%
