year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
1996,YUG,LBN,ALL,153341.24,0.00026%
1996,YUG,LKA,ALL,4001039.63,0.0067%
1996,YUG,MAC,ALL,4000,0.0000067%
1996,YUG,MMR,ALL,60719.81,0.00010%
1996,YUG,MNG,ALL,3000,0.0000050%
1996,YUG,MYS,ALL,8003599.12,0.013%
1996,YUG,PAK,ALL,590784.16,0.00099%
1996,YUG,PHL,ALL,301812.34,0.00051%
1996,YUG,PRK,ALL,56949.21,0.000095%
1996,YUG,QAT,ALL,15977.13,0.000027%
1996,YUG,SAU,ALL,123313.46,0.00021%
1996,YUG,SGP,ALL,7576991,0.013%
1996,YUG,SYR,ALL,3786810.35,0.0063%
1996,YUG,THA,ALL,5454940.07,0.0091%
1996,YUG,TJK,ALL,547644.49,0.00092%
1996,YUG,TKM,ALL,109486.9,0.00018%
1996,YUG,TLS,ALL,7000,0.000012%
1996,YUG,TUR,ALL,38910801.43,0.065%
1996,YUG,UZB,ALL,4357578.5,0.0073%
1996,YUG,VNM,ALL,472513.1,0.00079%
1996,YUG,XXB,ALL,7730356.48,0.013%
1996,YUG,YEM,ALL,19000,0.000032%
1996,YUG,ALB,ALL,4506138.35,0.0076%
1996,YUG,AUT,ALL,139908272.18,0.23%
1996,YUG,BGR,ALL,242883477.11,0.41%
1996,YUG,BIH,ALL,215254928.05,0.36%
1996,YUG,BLR,ALL,8078002.54,0.014%
1996,YUG,BLX,ALL,70141689.93,0.12%
1996,YUG,CHE,ALL,127362754.84,0.21%
1996,YUG,CZE,ALL,90478872.74,0.15%
1996,YUG,DEU,ALL,513418310.57,0.86%
1996,YUG,DNK,ALL,16805002.52,0.028%
1996,YUG,ESP,ALL,16935032.91,0.028%
1996,YUG,EST,ALL,368905.44,0.00062%
1996,YUG,FIN,ALL,18238821.09,0.031%
1996,YUG,FRA,ALL,152690824.66,0.26%
1996,YUG,GBR,ALL,98973852.24,0.17%
1996,YUG,GRC,ALL,166770638.17,0.28%
1996,YUG,HRV,ALL,10017534.44,0.017%
1996,YUG,HUN,ALL,143917581.86,0.24%
1996,YUG,IRL,ALL,5041306.07,0.0085%
1996,YUG,ISL,ALL,378656.83,0.00063%
1996,YUG,ITA,ALL,467802844.94,0.78%
1996,YUG,LTU,ALL,1770139.13,0.0030%
1996,YUG,LVA,ALL,1570036.52,0.0026%
1996,YUG,MDA,ALL,50444.36,0.000085%
1996,YUG,MKD,ALL,264964791.3,0.44%
1996,YUG,MLT,ALL,1444713.58,0.0024%
1996,YUG,NLD,ALL,89375472.81,0.15%
1996,YUG,NOR,ALL,6146147.55,0.010%
1996,YUG,POL,ALL,56083648.04,0.094%
1996,YUG,PRT,ALL,720866.92,0.0012%
1996,YUG,ROU,ALL,139914057.82,0.23%
1996,YUG,RUS,ALL,276880264.34,0.46%
1996,YUG,SVK,ALL,57115537.12,0.096%
1996,YUG,SVN,ALL,92751565.92,0.16%
1996,YUG,SWE,ALL,88470945.21,0.15%
1996,YUG,UKR,ALL,38588730.07,0.065%
1996,YUG,ANT,ALL,71000,0.00012%
1996,YUG,BHS,ALL,432491.2,0.00073%
1996,YUG,BMU,ALL,7327.24,0.000012%
1996,YUG,CAN,ALL,5488794.5,0.0092%
1996,YUG,CRI,ALL,4654351.78,0.0078%
1996,YUG,CUB,ALL,30881745.89,0.052%
1996,YUG,CYM,ALL,11000,0.000018%
1996,YUG,DMA,ALL,31000,0.000052%
1996,YUG,DOM,ALL,1000,0.0000017%
1996,YUG,GRD,ALL,2000,0.0000034%
1996,YUG,GTM,ALL,12026.43,0.000020%
1996,YUG,HND,ALL,211768.76,0.00036%
1996,YUG,HTI,ALL,14470.41,0.000024%
1996,YUG,JAM,ALL,111864.76,0.00019%
1996,YUG,KNA,ALL,145000,0.00024%
1996,YUG,MEX,ALL,3477659.96,0.0058%
1996,YUG,NIC,ALL,135316.04,0.00023%
1996,YUG,PAN,ALL,684259.58,0.0011%
1996,YUG,SLV,ALL,26000,0.000044%
1996,YUG,UMI,ALL,14000,0.000023%
1996,YUG,USA,ALL,111809578.09,0.19%
1996,YUG,VCT,ALL,19427.31,0.000033%
1996,YUG,VGB,ALL,259396.09,0.00043%
1996,YUG,AUS,ALL,9905580.48,0.017%
1996,YUG,COK,ALL,86342.7,0.00014%
1996,YUG,KIR,ALL,1906.46,0.0000032%
1996,YUG,MHL,ALL,387341.56,0.00065%
1996,YUG,NRU,ALL,11000,0.000018%
1996,YUG,NZL,ALL,590958.86,0.00099%
1996,YUG,TUV,ALL,89852.74,0.00015%
1996,YUG,ARG,ALL,8218277.48,0.014%
1996,YUG,BRA,ALL,37357161.69,0.063%
1996,YUG,CHL,ALL,7279531.51,0.012%
1996,YUG,COL,ALL,9543791.67,0.016%
1996,YUG,ECU,ALL,17285977.85,0.029%
1996,YUG,GUY,ALL,11961.15,0.000020%
1996,YUG,PER,ALL,16897740.19,0.028%
1996,YUG,SUR,ALL,86735.43,0.00015%
1996,YUG,URY,ALL,461478,0.00077%
1996,YUG,VEN,ALL,6857571,0.011%
1996,YUG,XXA,ALL,88949.71,0.00015%
1997,YUG,BFA,ALL,6438.02,0.000011%
1997,YUG,CIV,ALL,2233067.87,0.0037%
1997,YUG,CMR,ALL,1187255.58,0.0020%
1997,YUG,COD,ALL,56606.94,0.000095%
1997,YUG,COG,ALL,279244.62,0.00047%
1997,YUG,DZA,ALL,19694043.85,0.033%
1997,YUG,EGY,ALL,4872705.94,0.0082%
1997,YUG,ESH,ALL,5601.51,0.0000094%
1997,YUG,ETH,ALL,111351.98,0.00019%
1997,YUG,GHA,ALL,3938267.19,0.0066%
1997,YUG,GIN,ALL,1362805.46,0.0023%
1997,YUG,GMB,ALL,28312.36,0.000047%
1997,YUG,KEN,ALL,227674.75,0.00038%
1997,YUG,LBR,ALL,7000,0.000012%
1997,YUG,LBY,ALL,106702014.04,0.18%
1997,YUG,MAR,ALL,2244721.19,0.0038%
1997,YUG,MDG,ALL,114260.44,0.00019%
1997,YUG,MLI,ALL,152892.18,0.00026%
1997,YUG,MRT,ALL,5092312.51,0.0085%
1997,YUG,MUS,ALL,41207.72,0.000069%
1997,YUG,NGA,ALL,101041.07,0.00017%
1997,YUG,SDN,ALL,479204.71,0.00080%
1997,YUG,SEN,ALL,11972.8,0.000020%
1997,YUG,SLE,ALL,588739.72,0.00099%
1997,YUG,SYC,ALL,52064.61,0.000087%
1997,YUG,TGO,ALL,18896.28,0.000032%
1997,YUG,TUN,ALL,11284328.85,0.019%
1997,YUG,TZA,ALL,174588,0.00029%
1997,YUG,UGA,ALL,4726185.59,0.0079%
1997,YUG,ZAF,ALL,16763317.19,0.028%
1997,YUG,ZMB,ALL,6000,0.000010%
1997,YUG,ZWE,ALL,95331.75,0.00016%
1997,YUG,ARE,ALL,198866.29,0.00033%
