,PERIOD,PARTNER,REPORTER,PRODUCT,FLOW,INDICATORS,Value,Per
764,Jan.-Dec. 2000,GERMANY (incl DD from 1991),FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"6,245,756,917",0.125125141
793,Jan.-Dec. 2000,EU28_EXTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"124,412,340,948",3.294614029
822,Jan.-Dec. 2000,EU28_INTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"230,298,500,249",1.76260411
851,Jan.-Dec. 2000,GERMANY (incl DD from 1991),FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"55,232,408,148",0.15571108
880,Jan.-Dec. 2000,EU28_EXTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"4,800,522,441",0.016812619
909,Jan.-Dec. 2000,EU28_INTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"7,877,894,988",0.131226227
938,Jan.-Dec. 2000,GERMANY (incl DD from 1991),GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"1,734,808,371",0.136831618
967,Jan.-Dec. 2000,EU28_EXTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"4,808,453,035",0.500218602
996,Jan.-Dec. 2000,EU28_INTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"25,716,074,418",3.930161554
1025,Jan.-Dec. 2000,GERMANY (incl DD from 1991),HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"11,370,479,543",0.372503049
1054,Jan.-Dec. 2000,EU28_EXTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"29,506,433,923",0.79561002
1083,Jan.-Dec. 2000,EU28_INTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"54,310,354,852",1.3286315
58,Jan.-Dec. 2019,EU28_INTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
59,Jan.-Dec. 1991,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
60,Jan.-Dec. 1992,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
61,Jan.-Dec. 1993,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
