,PERIOD,PARTNER,REPORTER,PRODUCT,FLOW,INDICATORS,Value,Per
525,Jan.-Dec. 1993,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
526,Jan.-Dec. 1994,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
527,Jan.-Dec. 1995,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
528,Jan.-Dec. 1996,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
529,Jan.-Dec. 1997,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
530,Jan.-Dec. 1998,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
531,Jan.-Dec. 1999,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
536,Jan.-Dec. 2004,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"18,105,951,166",#VALUE!
565,Jan.-Dec. 2004,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"43,860,004,595",#VALUE!
594,Jan.-Dec. 2004,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"11,216,882,998",0.181016864
623,Jan.-Dec. 2004,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"933,999,295",0.016958099
652,Jan.-Dec. 2004,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,834,732,253",0.315592906
681,Jan.-Dec. 2004,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"392,659,143",0.082340375
710,Jan.-Dec. 2004,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"20,712,621,939",4.899622486
739,Jan.-Dec. 2004,EU28_INTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"28,744,974,156",1.361980162
768,Jan.-Dec. 2004,GERMANY (incl DD from 1991),FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"5,275,664,620",0.106670462
797,Jan.-Dec. 2004,EU28_EXTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"123,210,219,608",3.621631575
826,Jan.-Dec. 2004,EU28_INTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"240,248,137,029",1.86984071
855,Jan.-Dec. 2004,GERMANY (incl DD from 1991),FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"54,665,972,326",0.15040505
884,Jan.-Dec. 2004,EU28_EXTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"4,417,049,432",0.01497741
913,Jan.-Dec. 2004,EU28_INTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"8,949,171,229",0.151467731
942,Jan.-Dec. 2004,GERMANY (incl DD from 1991),GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"1,868,537,472",0.139795498
971,Jan.-Dec. 2004,EU28_EXTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"6,987,263,867",0.645909782
1000,Jan.-Dec. 2004,EU28_INTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"37,684,107,810",4.255301849
1029,Jan.-Dec. 2004,GERMANY (incl DD from 1991),HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"14,099,756,454",0.315632942
1058,Jan.-Dec. 2004,EU28_EXTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"31,234,627,740",0.60317298
551,Jan.-Dec. 2019,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
552,Jan.-Dec. 1991,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
553,Jan.-Dec. 1992,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
554,Jan.-Dec. 1993,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
555,Jan.-Dec. 1994,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
556,Jan.-Dec. 1995,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
557,Jan.-Dec. 1996,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
558,Jan.-Dec. 1997,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
559,Jan.-Dec. 1998,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
560,Jan.-Dec. 1999,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1087,Jan.-Dec. 2004,EU28_INTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"53,006,950,513",#VALUE!
1116,Jan.-Dec. 2004,GERMANY (incl DD from 1991),IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"6,511,768,643",#VALUE!
1145,Jan.-Dec. 2004,EU28_EXTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"106,255,237,021",1.785240652
1174,Jan.-Dec. 2004,EU28_INTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"178,158,123,995",1.579878112
1203,Jan.-Dec. 2004,GERMANY (incl DD from 1991),ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"38,760,772,287",0.136283233
1232,Jan.-Dec. 2004,EU28_EXTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"728,663,139",0.00335915
1261,Jan.-Dec. 2004,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,494,401,869",0.063166309
1290,Jan.-Dec. 2004,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"385,418,173",0.119581259
1319,Jan.-Dec. 2004,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,448,126,185",0.850096933
1348,Jan.-Dec. 2004,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"5,029,618,532",1.775027279
1377,Jan.-Dec. 2004,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"767,434,800",0.102629179
1406,Jan.-Dec. 2004,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"1,266,596,608",0.218489728
1435,Jan.-Dec. 2004,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"11,796,880,850",5.799753536
1464,Jan.-Dec. 2004,GERMANY (incl DD from 1991),LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"2,902,170,155",0.222159082
1493,Jan.-Dec. 2004,EU28_EXTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,023,091,319",0.069602542
1522,Jan.-Dec. 2004,EU28_INTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,000,356,135",0.254850828
1551,Jan.-Dec. 2004,GERMANY (incl DD from 1991),MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"227,304,789",0.112335405
1580,Jan.-Dec. 2004,EU28_EXTRA,NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"57,455,632,653",46.80089716
1609,Jan.-Dec. 2004,EU28_INTRA,NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"229,880,249,109",3.985238258
580,Jan.-Dec. 2019,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
581,Jan.-Dec. 1991,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"6,603,704,563",
582,Jan.-Dec. 1992,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"7,425,862,470",
583,Jan.-Dec. 1993,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"7,972,047,343",
584,Jan.-Dec. 1994,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"8,496,796,820",
585,Jan.-Dec. 1995,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"8,587,357,160",
586,Jan.-Dec. 1996,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"9,193,291,533",
587,Jan.-Dec. 1997,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"9,369,772,955",
588,Jan.-Dec. 1998,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"9,197,475,704",
589,Jan.-Dec. 1999,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"9,542,442,651",
1638,Jan.-Dec. 2004,GERMANY (incl DD from 1991),NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"72,139,980,529",3.849535476
1667,Jan.-Dec. 2004,EU28_EXTRA,POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"11,679,405,974",0.142985547
1696,Jan.-Dec. 2004,EU28_INTRA,POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"48,652,304,383",0.580442144
1725,Jan.-Dec. 2004,GERMANY (incl DD from 1991),POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"18,091,994,953",0.299875386
1754,Jan.-Dec. 2004,EU28_EXTRA,PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"5,716,606,487",0.085649359
1783,Jan.-Dec. 2004,EU28_INTRA,PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"23,053,232,661",0.968273282
1812,Jan.-Dec. 2004,GERMANY (incl DD from 1991),PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"3,869,491,062",0.134498182
1841,Jan.-Dec. 2004,EU28_EXTRA,ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"4,643,309,477",0.172468043
1870,Jan.-Dec. 2004,EU28_INTRA,ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"14,291,665,274",1.678844137
1899,Jan.-Dec. 2004,GERMANY (incl DD from 1991),ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,828,538,749",0.149381702
2015,Jan.-Dec. 2004,EU28_EXTRA,SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,853,628,237",0.166681906
2044,Jan.-Dec. 2004,EU28_INTRA,SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"19,451,005,876",3.423166888
2073,Jan.-Dec. 2004,GERMANY (incl DD from 1991),SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"6,394,267,198",0.286678865
1928,Jan.-Dec. 2004,EU28_EXTRA,SLOVENIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,065,351,929",0.118603968
1957,Jan.-Dec. 2004,EU28_INTRA,SLOVENIA,TOTAL,EXPORT,VALUE_IN_EUROS,"10,087,926,041",1.066419896
1986,Jan.-Dec. 2004,GERMANY (incl DD from 1991),SLOVENIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,795,616,711",0.212541445
2102,Jan.-Dec. 2004,EU28_EXTRA,SPAIN,TOTAL,EXPORT,VALUE_IN_EUROS,"37,450,788,306",2.90687034
2131,Jan.-Dec. 2004,EU28_INTRA,SPAIN,TOTAL,EXPORT,VALUE_IN_EUROS,"109,363,941,813",2.717359271
2160,Jan.-Dec. 2004,GERMANY (incl DD from 1991),SPAIN,TOTAL,EXPORT,VALUE_IN_EUROS,"17,083,016,894",0.116357649
609,Jan.-Dec. 2019,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
610,Jan.-Dec. 1991,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
611,Jan.-Dec. 1992,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
612,Jan.-Dec. 1993,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
613,Jan.-Dec. 1994,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
614,Jan.-Dec. 1995,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
615,Jan.-Dec. 1996,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
616,Jan.-Dec. 1997,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
617,Jan.-Dec. 1998,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
618,Jan.-Dec. 1999,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
2189,Jan.-Dec. 2004,EU28_EXTRA,SWEDEN,TOTAL,EXPORT,VALUE_IN_EUROS,"40,458,781,907",#VALUE!
2218,Jan.-Dec. 2004,EU28_INTRA,SWEDEN,TOTAL,EXPORT,VALUE_IN_EUROS,"58,638,296,525",#VALUE!
2247,Jan.-Dec. 2004,GERMANY (incl DD from 1991),SWEDEN,TOTAL,EXPORT,VALUE_IN_EUROS,"9,928,018,629",0.100184776
2276,Jan.-Dec. 2004,EU28_EXTRA,UNITED KINGDOM,TOTAL,EXPORT,VALUE_IN_EUROS,"114,940,363,712",1.676338643
2305,Jan.-Dec. 2004,EU28_INTRA,UNITED KINGDOM,TOTAL,EXPORT,VALUE_IN_EUROS,"164,418,035,733",1.316730726
2334,Jan.-Dec. 2004,GERMANY (incl DD from 1991),UNITED KINGDOM,TOTAL,EXPORT,VALUE_IN_EUROS,"31,794,759,759",0.113813509
15,Jan.-Dec. 2005,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"27,087,394,594",0.138051112
44,Jan.-Dec. 2005,EU28_INTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"73,533,249,995",1.248820645
73,Jan.-Dec. 2005,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"31,232,549,348",0.310399019
102,Jan.-Dec. 2005,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"62,332,597,633",0.594970859
131,Jan.-Dec. 2005,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"206,456,193,573",2.206550198
160,Jan.-Dec. 2005,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"51,992,370,310",0.193432063
189,Jan.-Dec. 2005,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,553,334,274",0.01374871
218,Jan.-Dec. 2005,EU28_INTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"5,669,943,306",0.10207708
247,Jan.-Dec. 2005,GERMANY (incl DD from 1991),BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"926,861,172",0.100491519
276,Jan.-Dec. 2005,EU28_EXTRA,CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,594,891,136",0.393355775
305,Jan.-Dec. 2005,EU28_INTRA,CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"4,474,527,920",1.270540211
334,Jan.-Dec. 2005,GERMANY (incl DD from 1991),CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"753,929,280",0.106646568
363,Jan.-Dec. 2005,EU28_EXTRA,CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"314,578,437",0.060166589
638,Jan.-Dec. 2019,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
639,Jan.-Dec. 1991,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
640,Jan.-Dec. 1992,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
641,Jan.-Dec. 1993,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
642,Jan.-Dec. 1994,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
643,Jan.-Dec. 1995,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
644,Jan.-Dec. 1996,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
645,Jan.-Dec. 1997,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
646,Jan.-Dec. 1998,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
647,Jan.-Dec. 1999,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
392,Jan.-Dec. 2005,EU28_INTRA,CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"862,849,492",#VALUE!
421,Jan.-Dec. 2005,GERMANY (incl DD from 1991),CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"65,972,615",#VALUE!
450,Jan.-Dec. 2005,EU28_EXTRA,CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"8,748,131,767",9.418522343
479,Jan.-Dec. 2005,EU28_INTRA,CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"54,036,455,063",6.130680183
508,Jan.-Dec. 2005,GERMANY (incl DD from 1991),CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"21,105,638,798",0.336159555
537,Jan.-Dec. 2005,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"19,953,491,814",0.265543463
566,Jan.-Dec. 2005,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"48,466,128,643",1.180398316
595,Jan.-Dec. 2005,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"12,013,267,937",0.175582207
624,Jan.-Dec. 2005,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,352,521,632",0.022363345
653,Jan.-Dec. 2005,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"4,849,352,579",0.362818265
682,Jan.-Dec. 2005,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"377,684,842",0.060898501
711,Jan.-Dec. 2005,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"22,711,738,473",4.345049909
740,Jan.-Dec. 2005,EU28_INTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"29,934,846,590",1.296474415
769,Jan.-Dec. 2005,GERMANY (incl DD from 1991),FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"5,573,160,095",0.105859859
798,Jan.-Dec. 2005,EU28_EXTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"135,595,513,684",3.818730657
827,Jan.-Dec. 2005,EU28_INTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"236,905,055,128",1.678170155
856,Jan.-Dec. 2005,GERMANY (incl DD from 1991),FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"54,774,248,522",0.147044738
885,Jan.-Dec. 2005,EU28_EXTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"5,358,108,257",0.018369861
914,Jan.-Dec. 2005,EU28_INTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"9,498,713,157",0.157963427
667,Jan.-Dec. 2019,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
668,Jan.-Dec. 1991,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
669,Jan.-Dec. 1992,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
670,Jan.-Dec. 1993,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
671,Jan.-Dec. 1994,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
672,Jan.-Dec. 1995,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
673,Jan.-Dec. 1996,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
674,Jan.-Dec. 1997,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
675,Jan.-Dec. 1998,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
676,Jan.-Dec. 1999,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"191,585,028",
943,Jan.-Dec. 2005,GERMANY (incl DD from 1991),GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"1,861,022,933",#VALUE!
972,Jan.-Dec. 2005,EU28_EXTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"8,941,980,550",4.356399624
1001,Jan.-Dec. 2005,EU28_INTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"41,645,899,936",3.855029761
1030,Jan.-Dec. 2005,GERMANY (incl DD from 1991),HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"15,166,205,469",0.299799188
1059,Jan.-Dec. 2005,EU28_EXTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"31,879,963,640",0.561147372
1088,Jan.-Dec. 2005,EU28_INTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"56,262,027,668",1.19588967
1117,Jan.-Dec. 2005,GERMANY (incl DD from 1991),IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"6,488,387,689",0.073612901
1146,Jan.-Dec. 2005,EU28_EXTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"113,931,218,085",1.815624924
1175,Jan.-Dec. 2005,EU28_INTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"185,992,198,066",1.544534188
1204,Jan.-Dec. 2005,GERMANY (incl DD from 1991),ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"39,493,445,354",0.131678433
1233,Jan.-Dec. 2005,EU28_EXTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"970,561,945",0.004304318
1262,Jan.-Dec. 2005,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,178,052,190",0.078540224
1291,Jan.-Dec. 2005,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"425,036,842",0.10245273
1320,Jan.-Dec. 2005,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,252,820,885",0.902786708
1349,Jan.-Dec. 2005,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"6,237,231,139",1.695887009
1378,Jan.-Dec. 2005,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"890,715,245",0.093857783
1407,Jan.-Dec. 2005,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"1,616,405,696",0.226770182
1436,Jan.-Dec. 2005,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"13,777,740,960",5.495443293
1465,Jan.-Dec. 2005,GERMANY (incl DD from 1991),LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"3,149,550,410",0.204594024
696,Jan.-Dec. 2019,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
697,Jan.-Dec. 1991,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
698,Jan.-Dec. 1992,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
699,Jan.-Dec. 1993,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
700,Jan.-Dec. 1994,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
701,Jan.-Dec. 1995,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
702,Jan.-Dec. 1996,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
703,Jan.-Dec. 1997,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
704,Jan.-Dec. 1998,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
705,Jan.-Dec. 1999,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1494,Jan.-Dec. 2005,EU28_EXTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"923,063,561",#VALUE!
1523,Jan.-Dec. 2005,EU28_INTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,005,126,641",#VALUE!
1552,Jan.-Dec. 2005,GERMANY (incl DD from 1991),MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"235,538,807",0.12215538
1581,Jan.-Dec. 2005,EU28_EXTRA,NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"65,543,767,555",52.82952601
1610,Jan.-Dec. 2005,EU28_INTRA,NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"261,095,930,859",3.969271573
1639,Jan.-Dec. 2005,GERMANY (incl DD from 1991),NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"81,337,118,988",0.249011738
1668,Jan.-Dec. 2005,EU28_EXTRA,POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"15,144,058,726",0.044224875
1697,Jan.-Dec. 2005,EU28_INTRA,POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"56,745,160,900",0.588147473
1726,Jan.-Dec. 2005,GERMANY (incl DD from 1991),POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"20,268,704,053",0.281943582
1755,Jan.-Dec. 2005,EU28_EXTRA,PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"6,133,656,154",0.079643531
1784,Jan.-Dec. 2005,EU28_INTRA,PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"25,003,428,211",0.947014889
1813,Jan.-Dec. 2005,GERMANY (incl DD from 1991),PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"3,879,263,842",0.124586612
1842,Jan.-Dec. 2005,EU28_EXTRA,ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"6,470,010,252",0.224009945
1871,Jan.-Dec. 2005,EU28_INTRA,ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"15,785,063,630",1.525233894
1900,Jan.-Dec. 2005,GERMANY (incl DD from 1991),ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,114,607,359",0.139950439
2016,Jan.-Dec. 2005,EU28_EXTRA,SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,182,424,106",0.168385159
2045,Jan.-Dec. 2005,EU28_INTRA,SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"22,449,985,926",3.565169723
