"","PERIOD","PARTNER","REPORTER","PRODUCT","FLOW","INDICATORS","Value"
"49","Jan.-Dec. 2010","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","83,149,075,271"
"50","Jan.-Dec. 2011","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","90,943,745,803"
"51","Jan.-Dec. 2012","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","90,844,243,322"
"52","Jan.-Dec. 2013","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","92,432,974,007"
"53","Jan.-Dec. 2014","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","93,774,343,753"
"54","Jan.-Dec. 2015","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","96,519,423,966"
"55","Jan.-Dec. 2016","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","97,073,189,899"
"56","Jan.-Dec. 2017","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","105,903,583,050"
"57","Jan.-Dec. 2018","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","111,602,498,409"
"58","Jan.-Dec. 2019","EU28_INTRA","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"59","Jan.-Dec. 1991","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"60","Jan.-Dec. 1992","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"61","Jan.-Dec. 1993","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"62","Jan.-Dec. 1994","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"63","Jan.-Dec. 1995","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","16,564,197,111"
"64","Jan.-Dec. 1996","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","17,133,096,934"
"65","Jan.-Dec. 1997","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","18,408,143,567"
"66","Jan.-Dec. 1998","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","20,573,027,778"
"67","Jan.-Dec. 1999","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","21,663,047,698"
"68","Jan.-Dec. 2000","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","24,412,544,266"
"69","Jan.-Dec. 2001","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","25,527,927,152"
"70","Jan.-Dec. 2002","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","26,245,863,476"
"71","Jan.-Dec. 2003","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","27,071,149,269"
"72","Jan.-Dec. 2004","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","30,429,795,662"
"73","Jan.-Dec. 2005","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","31,232,549,348"
"74","Jan.-Dec. 2006","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","32,749,844,898"
"75","Jan.-Dec. 2007","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","35,609,898,730"
"76","Jan.-Dec. 2008","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","36,340,537,980"
"77","Jan.-Dec. 2009","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","30,468,588,624"
"78","Jan.-Dec. 2010","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","36,103,587,835"
"79","Jan.-Dec. 2011","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","39,829,235,432"
"80","Jan.-Dec. 2012","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","39,378,327,212"
"81","Jan.-Dec. 2013","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","39,077,490,869"
"82","Jan.-Dec. 2014","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","39,161,634,161"
"83","Jan.-Dec. 2015","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","40,515,111,886"
"84","Jan.-Dec. 2016","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","41,091,526,762"
"85","Jan.-Dec. 2017","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","43,890,670,596"
"86","Jan.-Dec. 2018","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS","46,174,354,096"
"87","Jan.-Dec. 2019","GERMANY (incl DD from 1991)","AUSTRIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"88","Jan.-Dec. 1991","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"89","Jan.-Dec. 1992","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"90","Jan.-Dec. 1993","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"91","Jan.-Dec. 1994","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"92","Jan.-Dec. 1995","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"93","Jan.-Dec. 1996","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"94","Jan.-Dec. 1997","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"95","Jan.-Dec. 1998","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"96","Jan.-Dec. 1999","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"97","Jan.-Dec. 2000","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","47,257,778,046"
"98","Jan.-Dec. 2001","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","46,731,538,473"
"99","Jan.-Dec. 2002","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","55,937,359,459"
"100","Jan.-Dec. 2003","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","51,364,834,040"
"101","Jan.-Dec. 2004","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","56,424,182,045"
"102","Jan.-Dec. 2005","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","62,332,597,633"
"103","Jan.-Dec. 2006","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","68,700,093,788"
"104","Jan.-Dec. 2007","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","74,962,550,153"
"105","Jan.-Dec. 2008","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","73,961,364,076"
"106","Jan.-Dec. 2009","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","64,707,243,976"
"107","Jan.-Dec. 2010","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","82,933,600,097"
"108","Jan.-Dec. 2011","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","95,676,243,138"
"109","Jan.-Dec. 2012","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","104,037,450,614"
"110","Jan.-Dec. 2013","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","105,383,265,958"
"111","Jan.-Dec. 2014","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","104,691,279,242"
"112","Jan.-Dec. 2015","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","101,257,534,306"
"113","Jan.-Dec. 2016","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","100,685,693,988"
"114","Jan.-Dec. 2017","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","106,287,555,917"
"115","Jan.-Dec. 2018","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","107,338,410,042"
"116","Jan.-Dec. 2019","EU28_EXTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"117","Jan.-Dec. 1991","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"118","Jan.-Dec. 1992","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"119","Jan.-Dec. 1993","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"120","Jan.-Dec. 1994","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"121","Jan.-Dec. 1995","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"122","Jan.-Dec. 1996","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"123","Jan.-Dec. 1997","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"124","Jan.-Dec. 1998","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"125","Jan.-Dec. 1999","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"126","Jan.-Dec. 2000","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","156,695,490,262"
"127","Jan.-Dec. 2001","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","165,806,069,544"
"128","Jan.-Dec. 2002","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","172,623,765,129"
"129","Jan.-Dec. 2003","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","174,604,738,196"
"130","Jan.-Dec. 2004","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","190,272,857,854"
"131","Jan.-Dec. 2005","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","206,456,193,573"
"132","Jan.-Dec. 2006","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","223,387,035,555"
"133","Jan.-Dec. 2007","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","239,486,132,830"
"134","Jan.-Dec. 2008","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","246,843,811,841"
"135","Jan.-Dec. 2009","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","201,278,795,472"
"136","Jan.-Dec. 2010","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","224,596,265,653"
"137","Jan.-Dec. 2011","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","246,041,969,815"
"138","Jan.-Dec. 2012","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","243,051,101,926"
"139","Jan.-Dec. 2013","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","247,572,437,754"
"140","Jan.-Dec. 2014","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","250,596,427,055"
"141","Jan.-Dec. 2015","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","256,514,232,850"
"142","Jan.-Dec. 2016","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","259,147,688,364"
"143","Jan.-Dec. 2017","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","275,101,777,948"
"144","Jan.-Dec. 2018","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","287,689,259,554"
"145","Jan.-Dec. 2019","EU28_INTRA","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"146","Jan.-Dec. 1991","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","22,608,223,525"
"147","Jan.-Dec. 1992","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","21,785,970,537"
