"","country_origin_id","year","hhi"
"1","ARM",1995,3086.11106142417
"2","ARM",1996,3142.93971342662
"3","ARM",1997,1573.67996652181
"4","ARM",1998,2014.22753141266
"5","ARM",1999,1231.40468042019
"6","ARM",2000,1286.59014203331
"7","ARM",2001,1015.1274942303
"8","ARM",2002,1103.69646509977
"9","ARM",2003,1180.75707404786
"10","ARM",2004,867.131907091118
"11","ARM",2005,969.849611337815
"12","ARM",2006,728.59533388601
"13","ARM",2007,882.932059897863
"14","ARM",2008,925.559289854892
"15","ARM",2009,903.69736447233
"16","ARM",2010,936.286870346191
"17","ARM",2011,876.779222942382
"18","ARM",2012,860.617347408063
"19","ARM",2013,922.168582234811
"20","ARM",2014,875.960735456918
"21","ARM",2015,764.030573229184
"22","ARM",2016,827.639035190423
"23","ARM",2017,1012.25634747794
"24","AZE",1995,1114.63664729864
"25","AZE",1996,1788.55411833141
"26","AZE",1997,1408.85877615079
"27","AZE",1998,1097.41924857593
"28","AZE",1999,1001.32628524814
"29","AZE",2000,1226.21056318439
"30","AZE",2001,1572.67752371427
"31","AZE",2002,1397.4841492872
"32","AZE",2003,1415.46510811024
"33","AZE",2004,938.686534615668
"34","AZE",2005,911.280227837777
"35","AZE",2006,1292.53681192001
"36","AZE",2007,935.079526365424
"37","AZE",2008,883.235496023602
"38","AZE",2009,892.795893106677
"39","AZE",2010,1055.74120922517
"40","AZE",2011,1461.38947583021
"41","AZE",2012,1103.53618276858
"42","AZE",2013,1095.49231035032
"43","AZE",2014,978.43279722319
"44","AZE",2015,952.093719876151
"45","AZE",2016,911.013133758011
"46","AZE",2017,1368.00655077575
"47","BLR",1995,1199.86201271799
"48","BLR",1996,1055.46128895096
"49","BLR",1997,1042.66726848087
"50","BLR",1998,4124.24106275295
"51","BLR",1999,3213.07163907692
"52","BLR",2000,2629.32526869368
"53","BLR",2001,2772.12694104591
"54","BLR",2002,2365.60931926434
"55","BLR",2003,2298.91516553318
"56","BLR",2004,2206.46669315327
"57","BLR",2005,1571.08192543015
"58","BLR",2006,1592.69490588357
"59","BLR",2007,1685.36958036373
"60","BLR",2008,1438.70151350089
"61","BLR",2009,1295.98803657689
"62","BLR",2010,1733.57138680047
"63","BLR",2011,1464.27701736529
"64","BLR",2012,1651.5538142697
"65","BLR",2013,2231.00850820499
"66","BLR",2014,1983.56947863937
"67","BLR",2015,1815.13147543048
"68","BLR",2016,2396.26003120194
"69","BLR",2017,2206.88103471658
"70","GEO",1995,2599.25377223088
"71","GEO",1996,1147.51846856803
"72","GEO",1997,1528.03568315797
"73","GEO",1998,994.389663495153
"74","GEO",1999,966.812154724012
"75","GEO",2000,963.607748227734
"76","GEO",2001,869.864050695764
"77","GEO",2002,672.060540636778
"78","GEO",2003,871.357722592739
"79","GEO",2004,903.760954467661
"80","GEO",2005,748.269911639525
"81","GEO",2006,524.64240845836
"82","GEO",2007,557.079781623347
"83","GEO",2008,712.632230641308
"84","GEO",2009,654.379796154749
"85","GEO",2010,530.91250156684
"86","GEO",2011,503.105317400703
"87","GEO",2012,683.697349568343
"88","GEO",2013,736.651659540918
"89","GEO",2014,628.514200473848
"90","GEO",2015,475.994238178205
"91","GEO",2016,440.708360335374
"92","GEO",2017,549.01730663885
"93","KAZ",1995,1041.56173149811
"94","KAZ",1996,3928.57484842262
"95","KAZ",1997,2616.15681338744
"96","KAZ",1998,1664.9799958262
"97","KAZ",1999,1155.85449134607
"98","KAZ",2000,735.373074730028
"99","KAZ",2001,747.793803358016
"100","KAZ",2002,780.259569080807
"101","KAZ",2003,897.016601126065
"102","KAZ",2004,636.227587373432
"103","KAZ",2005,608.155142819603
"104","KAZ",2006,643.783909730001
"105","KAZ",2007,617.686810481002
"106","KAZ",2008,557.079851346209
"107","KAZ",2009,567.508992564093
"108","KAZ",2010,669.052937686056
"109","KAZ",2011,791.894344805678
