"","country_origin_id","year","CHN","RUS","USA"
"1","YUG",1995,"0.12%",NA,NA
"2","YUG",1996,"0.54%","8.35%","1.4%"
"3","YUG",1997,"0.29%","6.96%","0.58%"
"4","YUG",1998,"0.37%","5.56%","0.82%"
"5","YUG",1999,"0.65%","4.8%","0.39%"
"6","YUG",2000,"0.4%","4.86%","0.19%"
"7","YUG",2001,"0.37%","3.89%","0.39%"
"8","YUG",2002,"0.08%","4.02%","0.72%"
"9","YUG",2003,"0.54%","4.85%","0.56%"
"10","YUG",2004,"0.27%","3.84%","2.16%"
"11","YUG",2005,"0.44%","5.73%","1.27%"
